Date,AAPL_Change,AAPL_Lag 2 Significant,stock_x,GOOG_Change,GOOG_Lag 2 Significant,stock_y,MSFT_Change,MSFT_Lag 2 Significant,stock
2015-01-02,-0.0126750576138982,-1,AAPL,-0.004216470588235266,-1,GOOG,-0.0014979670447250464,0,MSFT
2015-01-05,-0.027830146332704864,-1,AAPL,-0.010869359747452843,-1,GOOG,-0.00621517359622803,0,MSFT
2015-01-06,-0.01616031027795739,1,AAPL,-0.01578565149256583,-1,GOOG,0.00021565667457412727,0,MSFT
2015-01-07,0.006194856391965375,1,AAPL,-0.01553398058252431,0,GOOG,-0.008624407072013951,1,MSFT
2015-01-08,0.01893656716417902,1,AAPL,-0.017771203155818482,0,GOOG,0.01674641148325362,1,MSFT
2015-01-09,0.03149317952943331,-1,AAPL,0.013594650494989756,-1,GOOG,0.01839572192513361,-1,MSFT
2015-01-12,-0.0006212833939824858,-1,AAPL,-0.01945479039543541,0,GOOG,-0.003990758244066361,-1,MSFT
2015-01-13,-0.0103907637655416,-1,AAPL,0.007879742999151285,1,GOOG,-0.00948966680725438,-1,MSFT
2015-01-14,-0.021448442968679867,-1,AAPL,-0.008399486809397838,1,GOOG,-0.021503087076857552,-1,MSFT
2015-01-15,0.00880410858400582,-1,AAPL,0.022076215505913318,1,GOOG,0.0056570931244559475,0,MSFT
2015-01-16,-0.027000000000000024,1,AAPL,-0.0109974879838598,1,GOOG,-0.01968844655993074,1,MSFT
2015-01-20,0.007567971596748491,1,AAPL,0.021979560408791787,1,GOOG,0.021849481350695088,0,MSFT
2015-01-21,0.010293026706231556,1,AAPL,-0.007338551859099819,1,GOOG,-0.007775377969762355,1,MSFT
2015-01-22,0.012023864157870712,1,AAPL,0.02805322819122713,1,GOOG,0.009577710056595691,1,MSFT
2015-01-23,0.018501723199709767,0,AAPL,0.027057605277287733,-1,GOOG,0.02112979732643372,-1,MSFT
2015-01-26,0.01282279608192338,1,AAPL,0.005489273511454451,-1,GOOG,-0.007601351351351315,-1,MSFT
2015-01-27,-0.011605415860734936,1,AAPL,-0.01589512190592901,-1,GOOG,-0.08617021276595738,-1,MSFT
2015-01-28,0.04629959082013868,0,AAPL,-0.01356680566824553,-1,GOOG,-0.004889406286379572,-1,MSFT
2015-01-29,-0.01109458023379395,1,AAPL,-0.022533379241746032,1,GOOG,-0.04234908750584943,0,MSFT
2015-01-30,0.017881705639614998,0,AAPL,0.009510763209393373,1,GOOG,0.015147813339848382,0,MSFT
2015-02-02,-0.002956081081081141,0,AAPL,0.03076416081882672,0,GOOG,-0.023104693140794108,1,MSFT
2015-02-03,0.003811944091486774,1,AAPL,-0.007014838357813247,0,GOOG,0.025622074402562145,1,MSFT
2015-02-04,0.0,1,AAPL,0.002348484848484933,0,GOOG,0.007446552966610563,1,MSFT
2015-02-05,0.012827004219409188,-1,AAPL,-0.010297785503741276,0,GOOG,0.006676204101096817,0,MSFT
2015-02-06,0.0,0,AAPL,0.007350273964756848,0,GOOG,0.010895310279488424,0,MSFT
2015-02-09,-0.012247958673554438,1,AAPL,0.0006822833750284031,1,GOOG,-0.010309278350515427,0,MSFT
2015-02-10,0.013665120202446257,1,AAPL,0.002462121212121193,1,GOOG,0.011837121212121104,0,MSFT
2015-02-11,0.02163601564450368,1,AAPL,0.011335726431135562,1,GOOG,-0.00210575573233518,1,MSFT
2015-02-12,0.026798077706280177,1,AAPL,0.0036428171119000648,1,GOOG,0.00023446658851100644,1,MSFT
2015-02-13,0.009677931143899698,0,AAPL,0.011354118194509157,0,GOOG,0.016877637130801926,0,MSFT
2015-02-17,0.0016499057196730509,0,AAPL,0.006404711511916794,-1,GOOG,0.013600737667127659,-1,MSFT
2015-02-18,0.0010589065809083476,0,AAPL,-0.00992995995099033,0,GOOG,-0.007732544916988827,0,MSFT
2015-02-19,0.00669931439764926,1,AAPL,-0.006206132249722995,0,GOOG,-0.010314004125601685,1,MSFT
2015-02-20,0.0010896637608968085,1,AAPL,0.009460263177458959,-1,GOOG,0.0076424270495598625,1,MSFT
2015-02-23,0.010884776862074341,1,AAPL,-0.013035553182479398,0,GOOG,0.004366812227074357,0,MSFT
2015-02-24,0.02245808337178889,-1,AAPL,-0.011286260610017584,1,GOOG,0.010297482837528404,0,MSFT
2015-02-25,-0.01038062283737018,-1,AAPL,0.011132075471698144,1,GOOG,-0.0045300113250281715,0,MSFT
2015-02-26,-0.021093037397385217,0,AAPL,0.013640604590408724,1,GOOG,0.0009101251422070078,0,MSFT
2015-02-27,0.009434328532049507,0,AAPL,0.02030522265790391,1,GOOG,0.003182541486701496,-1,MSFT
2015-03-02,-0.00576923076923075,0,AAPL,0.011348874133949138,1,GOOG,-0.0104237480172219,-1,MSFT
2015-03-03,-0.0022437137330754147,0,AAPL,0.01769753626032511,0,GOOG,-0.0025188916876573986,-1,MSFT
2015-03-04,0.0010856079404466532,0,AAPL,0.002489262862652275,0,GOOG,-0.012626262626262765,0,MSFT
2015-03-05,-0.0040278853601857225,0,AAPL,0.00550824488082946,-1,GOOG,0.0013950244129272704,-1,MSFT
2015-03-06,-0.0013999066728884735,-1,AAPL,-0.0002434697923550111,-1,GOOG,-0.001625261202693351,-1,MSFT
2015-03-09,-0.003426791277258645,-1,AAPL,-0.0139507375452268,-1,GOOG,-0.018837209302325686,0,MSFT
2015-03-10,-0.01211316036261334,-1,AAPL,-0.0046043114702043475,-1,GOOG,0.003792367859682511,-1,MSFT
2015-03-11,-0.013131872478443165,0,AAPL,-0.016145325653522447,0,GOOG,-0.000944510035419066,-1,MSFT
2015-03-12,-0.019559118236472942,1,AAPL,-0.002936196274813563,0,GOOG,-0.023162372961474945,0,MSFT
2015-03-13,0.017087727904504968,1,AAPL,-1.8066520930060115e-05,0,GOOG,-0.01524316477135246,1,MSFT
2015-03-16,-0.004180064308681786,1,AAPL,-0.004607046070460585,0,GOOG,0.018918918918918733,0,MSFT
2015-03-17,0.01630610268001309,1,AAPL,0.0013794355204646005,1,GOOG,-0.0024113817217266127,1,MSFT
2015-03-18,0.008737092930897417,0,AAPL,0.0014319116927370425,1,GOOG,0.0014503263234229016,1,MSFT
2015-03-19,0.013779527559055094,-1,AAPL,0.012470588235294013,0,GOOG,0.02003379193820897,1,MSFT
2015-03-20,-0.003883495145631022,0,AAPL,0.004040115125404364,0,GOOG,0.00709891150023667,0,MSFT
2015-03-23,-0.008810916179337158,0,AAPL,-0.002172171281046964,1,GOOG,0.007518796992481258,0,MSFT
2015-03-24,0.0008653241032094973,-1,AAPL,0.0038006530699641328,0,GOOG,-0.002332089552238848,-1,MSFT
2015-03-25,-0.005423249233671322,-1,AAPL,0.01411405005688282,-1,GOOG,0.0032725572697522853,-1,MSFT
2015-03-26,-0.02987197724039825,1,AAPL,-0.0226292725679228,-1,GOOG,-0.03960857409133278,0,MSFT
2015-03-27,0.014744216357119422,1,AAPL,-0.008231854947183481,0,GOOG,-0.0024260067928190128,0,MSFT
2015-03-30,-0.004174359797704086,0,AAPL,-0.002495479204339901,0,GOOG,-0.00048638132295708564,-1,MSFT
2015-03-31,0.016444981862152375,0,AAPL,-0.002936804321815756,-1,GOOG,-0.007785888077858848,0,MSFT
2015-04-01,-0.010072170671742486,0,AAPL,-0.002545454545454517,-1,GOOG,-0.004413928396272636,0,MSFT
2015-04-02,0.001682422688671803,1,AAPL,-0.014126868392271287,0,GOOG,0.001477832512315258,1,MSFT
2015-04-06,-0.004478925057986083,1,AAPL,-0.015956364981048354,1,GOOG,-0.007870142646335343,1,MSFT
2015-04-07,0.02546798425323371,-1,AAPL,0.01101048438615604,0,GOOG,0.031482399603371285,0,MSFT
2015-04-08,-0.01402381698527111,0,AAPL,0.0005575379125779545,0,GOOG,-0.0036049026676279188,0,MSFT
2015-04-09,0.0,1,AAPL,0.004922173929194917,0,GOOG,-0.00506512301013029,0,MSFT
2015-04-10,0.0007945967421534308,0,AAPL,0.002328891189028237,-1,GOOG,0.009212121212121229,0,MSFT
2015-04-13,0.0192139737991266,-1,AAPL,-0.00715484334949934,-1,GOOG,-0.005524861878453136,0,MSFT
2015-04-14,-0.010672275453766478,0,AAPL,-0.0040118125592020215,-1,GOOG,0.009661835748792312,0,MSFT
2015-04-15,-0.0046456692913385824,0,AAPL,-0.014079254079254032,0,GOOG,-0.0009569377990430448,0,MSFT
2015-04-16,-0.0010283996519262484,0,AAPL,0.002269718176659552,0,GOOG,0.0045498084291188965,0,MSFT
2015-04-17,-0.005780804561292374,1,AAPL,-0.0023400641630496604,1,GOOG,-0.006674612634088195,1,MSFT
2015-04-20,0.00015929908403022883,1,AAPL,-0.0057882192713651906,1,GOOG,0.0014398848092151972,1,MSFT
