Date,Change VIX,Lag 2 Change VIX,Lag 2 Significant VIX,Change SPY,Lag 2 Change SPY,Lag 2 Significant SPY
2015-01-02,0.11627906976744184,0.144707207207207,1,-0.007740756767152356,-0.020786897955228183,-1
2015-01-05,0.08051801801801806,0.05002605523710251,1,-0.010708401976935787,-0.013469167850320813,-1
2015-01-06,0.05940594059405924,-0.11805213969503192,-1,-0.010187588774060785,0.009500717502102962,0
2015-01-07,-0.008853910477127358,-0.18411910669975173,-1,-0.0033153545450047557,0.02472445635984519,1
2015-01-08,-0.11017369727047144,0.005019520356943662,0,0.012858703207228706,0.0019606882015587752,0
2015-01-09,-0.08310094813162294,0.1076642335766423,1,0.011715112004313522,-0.011046511627906982,-1
2015-01-12,0.0961070559610704,0.2691453940066594,1,-0.009641472868217149,-0.023286531970060132,-1
2015-01-13,0.010543840177580588,0.1658429434376716,1,-0.001418717283890203,-0.012198706643151131,-1
2015-01-14,0.25590334980779783,-0.0030607783121994,0,-0.021898883009994097,-0.0044077134986225674,0
2015-01-15,-0.07170966331438566,-0.054639660857277436,-1,0.009917355371900749,0.003818876159301742,0
2015-01-16,0.07395195478097039,-0.08245614035087714,-1,-0.014184397163120475,0.013734466971876993,1
2015-01-20,-0.11973684210526316,-0.10413552566018933,-1,0.018262313226341968,0.00785573122529646,0
2015-01-21,0.04235176880916791,-0.1974187380497133,-1,-0.0044466403162055634,0.021290322580645126,1
2015-01-22,-0.14053537284894846,-0.05672969966629586,-1,0.01235732009925572,0.0035295847835678158,0
2015-01-23,-0.0661846496106786,0.048243001786777984,1,0.008823961958919435,-0.013703289761407228,-1
2015-01-26,0.010125074449076843,0.0005896226415093166,0,-0.005248068419262286,-0.0026378779737190193,0
2015-01-27,0.03773584905660377,0.16249999999999995,1,-0.008499829026427652,-0.012760506478789986,-1
2015-01-28,-0.035795454545454734,0.19210371243370666,1,0.005912203773956737,-0.01763236518587449,-1
2015-01-29,0.20565704183853886,0.021016617790811324,1,-0.01856296223735121,-0.0016468709452040328,0
2015-01-30,-0.011241446725317685,-0.08996539792387545,-1,0.0009481984229962047,0.012115470907912484,1
2015-02-02,0.032624814631734944,-0.1469602680708473,-1,-0.002592611058483185,0.019345163709072608,1
2015-02-03,-0.11871708951651505,-0.06083650190114074,-1,0.014746313421644562,0.009162561576354748,0
2015-02-04,-0.032047800108636615,-0.08585858585858593,-1,0.0045320197044334,0.012946253432718786,1
2015-02-05,-0.029741863075196436,0.10815500289184506,1,0.004609650843468094,-0.0004393244166748189,0
2015-02-06,-0.05783689994216312,0.08778391651319828,1,0.008298350092746265,-0.003292021688613511,0
