Date,BarackObama_sentiment_score,cnnbrk_sentiment_score,KimKardashian_sentiment_score
2015-08-25,1.3811,,1.6042
2015-08-26,-0.3302,,0.7067
2015-08-27,1.2610000000000001,,0.6114
2015-08-28,0.4227000000000001,,0.5106
2015-08-31,0.6808,,2.0094000000000003
2015-09-01,0.7398,,
2015-09-02,-0.43650000000000005,,
2015-09-03,0.0,,
2015-09-04,1.1516,,
2015-09-08,,,-0.14550000000000002
2015-09-09,1.2301,,
2015-09-10,0.4939,,0.0
2015-09-11,0.2719999999999999,,2.9125
2015-09-14,0.0,,5.2936000000000005
2015-09-15,-0.5859,,5.189400000000001
2015-09-16,-0.6518999999999999,,0.2972
2015-09-17,1.2497,,-0.3404
2015-09-18,0.4129000000000001,,1.9421000000000002
2015-09-21,0.3377,,5.136899999999999
2015-09-22,0.6317999999999999,,3.7035999999999993
2015-09-23,2.6223,,0.8398
2015-09-24,0.6487,,3.0253
2015-09-25,0.3346,,2.5937
2015-09-28,0.2095999999999999,,3.072
2015-09-29,0.3533,,2.2189
2015-09-30,1.7802,,1.4891
2015-10-01,0.4987,,
2015-10-02,0.0,,
2015-10-05,,,
2015-10-06,0.7269,,0.7185
2015-10-07,0.0,,0.7901
2015-10-08,0.344,,0.16480000000000006
2015-10-09,1.8955,,1.3017
2015-10-12,1.0645000000000002,,5.6325
2015-10-13,-0.6516000000000001,,1.9996
2015-10-14,2.3381000000000003,,0.0
2015-10-15,0.5719,,
2015-10-16,-0.843,,
2015-10-19,0.0,,0.6696
2015-10-20,1.0571000000000002,,
2015-10-21,-1.2738,,1.3437
2015-10-22,0.6705,,3.7756
2015-10-23,0.4215,,2.0779
2015-10-26,0.7269,,0.0
2015-10-27,0.765,,2.2352
2015-10-28,0.37760000000000005,,1.7599
2015-10-29,-0.7566999999999999,,0.20789999999999986
2015-10-30,1.7480000000000002,,3.1425
2015-11-02,0.8176,,
2015-11-03,0.4939,,
2015-11-04,1.0212,,
2015-11-05,0.9628000000000002,,
2015-11-06,0.7096,,2.6765999999999996
2015-11-09,0.1779,,1.0722
2015-11-10,,,2.3617
2015-11-11,0.8718000000000001,,0.8478
2015-11-12,0.8423,,1.4794
2015-11-13,0.6808,,1.2405
2015-11-16,1.4077,,7.3847
2015-11-17,1.5433,,0.7998
2015-11-18,0.5206,,0.9014
2015-11-19,1.646,,1.144
2015-11-20,2.0922,,0.6774
2015-11-23,0.469,,2.8267999999999995
2015-11-24,0.9886999999999999,,0.021299999999999986
2015-11-25,0.9934,,0.22040000000000004
2015-11-27,0.8038,,0.6633
2015-11-30,1.0502,,7.5661000000000005
2015-12-01,4.7193000000000005,,
2015-12-02,-0.2177,,
2015-12-03,0.1406,,
2015-12-04,,,
2015-12-07,,,1.9138000000000002
2015-12-08,2.1949,,1.4832999999999998
2015-12-09,0.3818,,1.5758
2015-12-10,,,4.0285
2015-12-11,-0.3818,,1.6981000000000002
2015-12-14,-0.128,,2.302
2015-12-15,1.5491,,-0.0018000000000000238
2015-12-16,1.6741000000000001,,0.0
2015-12-17,1.3529,,1.1712
2015-12-18,1.2244,,0.7609
2015-12-21,1.5960999999999999,,5.8980999999999995
2015-12-22,0.6249,,2.1603
2015-12-23,0.4019,,1.4608
2015-12-24,0.8591,,0.0
2015-12-28,0.6794,,1.4221
2015-12-29,2.4039,,4.087899999999999
2015-12-30,0.9638,,1.5438
2015-12-31,1.4685000000000001,,1.4377
2016-01-04,2.0758,,0.5242
2016-01-05,0.1139,,1.4219
2016-01-06,1.4377,,6.0878
2016-01-07,1.6169,,-0.025000000000000022
2016-01-08,1.6410000000000002,-2.1748000000000003,7.5184
2016-01-11,0.3875,-1.8569,
2016-01-12,,0.0022999999999999687,
2016-01-13,7.2955999999999985,,-0.5881000000000001
2016-01-14,1.7719999999999998,,1.6736
2016-01-15,0.6108,,0.0
2016-01-19,0.1590999999999999,,1.5835
2016-01-20,1.432,,0.29600000000000004
2016-01-21,0.6914,,5.6217999999999995
2016-01-22,0.0,,0.0
2016-01-25,0.32180000000000003,,1.1520000000000001
2016-01-26,0.05180000000000007,,0.0
2016-01-27,0.843,,0.7885
2016-01-28,1.3485,,0.6371
2016-01-29,0.5191000000000001,,0.4336
2016-02-01,,,0.0
2016-02-02,0.25630000000000003,,1.3678
2016-02-03,0.1726000000000001,,0.0
2016-02-04,,,-0.6908
2016-02-05,1.8882999999999999,,3.3152
2016-02-08,0.3003999999999999,-3.0686,2.8436
2016-02-09,1.028,-2.7995,1.1191
2016-02-10,,-0.3182,0.3099
2016-02-11,1.1308,-4.3113,
2016-02-12,,-2.5683,
2016-02-16,,,0.0
2016-02-17,0.8619,,1.4638
2016-02-18,0.21390000000000003,,1.3839000000000001
2016-02-19,0.7269,,0.9659
2016-02-22,1.1693,,4.0866
2016-02-23,0.05059999999999998,,3.1378
2016-02-24,0.6597,,0.8433
2016-02-25,1.1936999999999998,,1.234
2016-02-26,3.5361000000000002,,0.1867
2016-02-29,2.5468,,1.0941
2016-03-01,,,1.6721
2016-03-02,-0.0516,,1.1566
2016-03-03,3.0662000000000003,,1.7225
2016-03-04,,,-0.3182
2016-03-07,0.8561,,0.0
2016-03-08,2.5623,-5.244400000000001,2.28
2016-03-09,0.0,0.0039999999999998925,1.388
2016-03-10,0.34,-1.1215000000000002,
2016-03-11,0.9551000000000001,1.0601,
2016-03-14,0.2906999999999999,,4.1263
2016-03-15,0.3989,,0.8299
2016-03-16,0.3182,,0.4404
2016-03-17,0.6360999999999999,,0.5745
2016-03-18,1.5915,,2.076
2016-03-21,0.6364,,4.0179
2016-03-22,,,1.1427
2016-03-23,1.1051000000000002,,1.3774000000000002
2016-03-24,2.4365,,0.7958000000000001
2016-03-28,0.5682,,1.0544
2016-03-29,0.3182,,0.8419
2016-03-30,1.9171,,-0.4356
2016-03-31,2.4825,,2.4528
2016-04-01,0.0,,2.0690999999999997
2016-04-04,1.1012,,0.5622
2016-04-05,0.5767,,0.8225
2016-04-06,0.7964,,0.4724
2016-04-07,0.5719,,2.7362
2016-04-08,1.7864000000000002,-3.0286,2.4527
2016-04-11,0.7477,-3.9202000000000004,
2016-04-12,,-4.0921,
2016-04-13,0.8755999999999999,,0.0
2016-04-14,-0.20849999999999996,,0.3187000000000001
2016-04-15,0.3182,,0.6229
2016-04-18,1.1843,,0.3422
2016-04-19,0.7746000000000001,,0.8336
2016-04-20,0.43529999999999996,,0.0
2016-04-21,0.8591,,0.0
2016-04-22,1.4676999999999998,,0.0
2016-04-25,-0.6433,,0.1911
2016-04-26,-0.7807,,0.9063
2016-04-27,0.9878,,1.8282
2016-04-28,0.7202,,0.0
2016-04-29,0.6705,,0.3722
2016-05-02,0.8155,,2.1390000000000002
2016-05-03,,,0.7885
2016-05-04,1.4136,,1.0236
2016-05-05,0.626,,0.0
2016-05-06,,,
2016-05-09,0.0,-2.851,1.2313
2016-05-10,0.6695,-0.9378999999999998,
2016-05-11,0.7269,-1.4487999999999999,
2016-05-12,,-5.412799999999999,
2016-05-13,0.9884999999999999,,1.5419
2016-05-16,-0.1406,,-1.2590999999999999
2016-05-17,1.3010000000000002,,0.44110000000000005
2016-05-18,1.2375,,3.4718
2016-05-19,0.8126,,-0.16780000000000006
2016-05-20,0.7553,,1.7368
2016-05-23,1.5723999999999998,,0.0
2016-05-24,1.6510000000000002,,3.2662
2016-05-25,2.0192,,0.9981
2016-05-26,1.345,,0.0
2016-05-27,1.5549,,0.033499999999999974
2016-05-31,2.3126,,0.4443999999999999
2016-06-01,1.5090999999999999,,1.255
2016-06-02,0.48319999999999996,,0.5236
2016-06-03,,,0.5068
2016-06-06,-0.7835,,2.8833
2016-06-07,,,0.0
2016-06-08,0.0,-1.0444,2.6193
2016-06-09,0.6732,-3.7285000000000004,0.0
2016-06-10,0.2041,-2.164,
2016-06-13,0.0,,2.1902999999999997
2016-06-14,,,4.6582
2016-06-15,,,2.1425
2016-06-16,,,3.574
2016-06-17,0.0,,0.06970000000000004
2016-06-20,0.3451,,2.9918
2016-06-21,1.1433,,-1.4958999999999996
2016-06-22,0.3182,,0.1683
2016-06-23,-1.5225,,0.5319
2016-06-24,0.3685999999999998,,3.1923
2016-06-27,1.9380000000000002,,4.4178
2016-06-28,-0.48200000000000004,,-0.13449999999999995
2016-06-29,-0.02059999999999995,,0.5697
2016-06-30,0.26839999999999997,,0.9083000000000001
2016-07-01,0.2278,,2.6468
2016-07-05,,,0.7303999999999999
2016-07-06,2.5618,,-0.775
2016-07-07,,,2.3884
2016-07-08,,-4.9247000000000005,0.4939
2016-07-11,,-2.1131,
2016-07-12,,-5.1441,
2016-07-13,0.0,,2.6599000000000004
2016-07-14,0.8755999999999999,,1.2736999999999998
2016-07-15,0.0,,1.802
2016-07-18,1.1433,-5.165600000000001,2.1336
2016-07-19,0.0,-6.009,1.1324
2016-07-20,0.0807,-2.9932,-0.3945
2016-07-21,2.0026,-4.3481,1.1432
2016-07-22,1.2758,-6.8844,0.4824
2016-07-25,0.08209999999999995,-5.7841,0.8772
2016-07-26,0.9220999999999999,-2.9439,2.9688999999999997
2016-07-27,0.7527999999999999,-1.3955,1.1993
2016-07-28,-0.5236,-2.4338,2.8396
2016-07-29,1.0906,-0.4983000000000001,1.1086
2016-08-01,2.6159000000000003,,0.5528000000000001
2016-08-02,0.7269,,0.0
2016-08-03,0.6854,,1.8841
2016-08-04,0.4062,,0.0
2016-08-05,0.7717,,1.3714
2016-08-08,2.142,-0.7074,10.251
