Date,New York Times_sentiment_score,New York Times_polar_score,CNN_sentiment_score,CNN_polar_score,Washington Post_sentiment_score,Washington Post_polar_score,NYT_sentiment_score,NYT_polar_score
2015-01-02,,,-6.348100000000001,-0.1492,,,-8.510099999999998,-0.09699999999999998
2015-01-05,,,-1.4093,-0.8519,,,9.476799999999997,0.0937
2015-01-06,,,1.0081,0.16510000000000002,,,-5.385000000000002,-0.17559999999999998
2015-01-07,,,-0.9171,-0.4767,,,-23.5856,0.10260000000000002
2015-01-08,,,-2.5206,-0.7003,,,-9.8248,-0.07299999999999995
2015-01-09,,,-11.591999999999995,-0.2431,,,-0.07289999999998159,0.01719999999999999
2015-01-12,,,-6.328100000000001,-0.8591,,,9.804799999999998,0.017500000000000068
2015-01-13,,,-2.7289,-0.134,,,-5.779300000000003,-0.15090000000000006
2015-01-14,,,-6.6168000000000005,-0.2501,,,-3.7584999999999984,-0.16669999999999996
2015-01-15,,,-0.09250000000000014,-0.2271,,,-0.8744999999999999,-0.13349999999999995
2015-01-16,,,-4.787800000000002,-0.08099999999999996,,,-15.199700000000007,0.0897
2015-01-20,,,-6.5764000000000005,-0.1835,,,8.468600000000004,-0.09450000000000004
2015-01-21,,,-4.142,-0.13699999999999998,,,3.764600000000003,-0.02749999999999997
2015-01-22,,,-1.9932000000000003,0.0,,,-17.9195,-0.09820000000000008
2015-01-23,,,-7.807900000000003,0.0212,,,7.917299999999997,0.1139
2015-01-26,,,0.37929999999999975,-0.04919999999999991,,,12.354499999999987,0.15710000000000002
2015-01-27,,,1.6595999999999995,-0.2155,,,-12.700500000000016,-0.07230000000000003
2015-01-28,,,-3.2002000000000006,-0.07109999999999994,,,-6.964500000000001,-0.13490000000000002
2015-01-29,,,-0.14449999999999996,0.10550000000000004,,,6.060900000000008,0.0918
2015-01-30,,,-5.2984,-0.0515000000000001,,,10.322000000000008,0.13080000000000006
2015-02-02,,,-0.008699999999999819,0.0,,,11.079699999999995,-0.019500000000000076
2015-02-03,,,0.3691,-0.13590000000000002,,,-0.16619999999999946,0.009499999999999951
2015-02-04,,,-1.4785,-0.2543,,,-12.647,0.04900000000000005
2015-02-05,,,-0.12789999999999985,-0.0683999999999999,,,0.7550999999999997,-0.07869999999999999
2015-02-06,,,-7.162699999999999,-0.4088,,,1.1922000000000086,0.09450000000000004
2015-02-09,,,0.5405,0.31420000000000003,,,6.4497,-0.01759999999999995
2015-02-10,,,0.3467000000000001,-0.3007,,,-3.7524999999999986,-0.038800000000000064
2015-02-11,,,-1.9629,-0.5521,,,-6.3493,-0.02749999999999997
2015-02-12,,,-0.027099999999999902,-0.18019999999999992,,,7.185799999999999,-0.0908
2015-02-13,,,-3.1023,-0.030299999999999994,,,-5.3653,0.03789999999999994
2015-02-17,,,-0.030700000000000005,0.1472,,,-11.154200000000005,0.06389999999999996
2015-02-18,,,-0.03200000000000003,-0.1723,,,2.1754000000000016,-0.02880000000000005
2015-02-19,,,-5.0131000000000006,-0.3391000000000001,,,-6.3082,-0.25260000000000005
2015-02-20,,,-1.4534999999999996,-0.07750000000000001,,,8.324600000000004,0.10450000000000004
2015-02-23,,,-0.21929999999999994,-0.21929999999999994,,,10.741399999999995,0.11120000000000008
2015-02-24,,,0.0,0.0,,,-1.439699999999999,0.09239999999999993
2015-02-25,,,-0.4468,-0.3695999999999999,,,-1.1760999999999997,-0.16469999999999996
2015-02-26,,,-0.8146000000000002,0.013000000000000013,,,-4.9606999999999974,-0.08399999999999996
2015-02-27,,,-7.651599999999998,-0.21930000000000005,,,3.305400000000005,0.132
2015-03-02,,,-0.5859,-0.5859,,,-0.16779999999999987,0.0
2015-03-03,,,,,,,-8.706200000000003,-0.13670000000000004
2015-03-04,,,-0.14379999999999998,0.1522,,,-9.1895,-0.02310000000000001
2015-03-05,,,-0.0772,-0.0772,,,9.797000000000002,0.033900000000000034
2015-03-06,,,-5.460999999999999,-0.1592,,,3.6868,0.06810000000000005
2015-03-09,,,-3.7952,-0.1593,,,-7.8961000000000015,-0.21020000000000005
2015-03-10,,,-7.193299999999999,-0.245,,,-7.403400000000001,-0.1594
2015-03-11,,,-3.4599,-0.2047,,,-0.8752000000000004,-0.09650000000000004
2015-03-12,,,-0.12549999999999986,-0.114,,,-5.607099999999999,0.1898
2015-03-13,,,-5.602200000000002,0.015199999999999991,,,-4.8157,0.07709999999999995
2015-03-16,,,-2.56,-0.4105,,,6.2772999999999985,-0.020000000000000014
2015-03-17,,,-2.6676,-0.17190000000000005,,,-2.8980999999999986,0.044499999999999984
2015-03-18,,,-6.659599999999998,-0.3953,,,-7.406799999999998,0.013499999999999956
2015-03-19,,,-3.7,-0.20640000000000006,,,2.672600000000004,0.02200000000000002
2015-03-20,,,-12.310400000000005,-0.30010000000000003,,,-9.845299999999996,0.07589999999999998
2015-03-23,,,-1.5940999999999996,-0.3826,,,3.0623000000000005,-0.07599999999999996
2015-03-24,,,-2.4827000000000004,-0.23860000000000006,,,-1.7024000000000008,-0.03190000000000004
2015-03-25,,,-0.9174,0.08740000000000002,,,-7.487600000000002,0.014499999999999956
2015-03-26,0.0,0.0,0.05820000000000002,0.11440000000000004,,,-1.2555000000000014,0.12419999999999998
2015-03-27,,,-4.4389,-0.22219999999999995,,,5.465799999999994,0.13890000000000002
2015-03-30,,,-2.2670999999999992,-0.3432000000000001,,,0.4855000000000018,0.1815
2015-03-31,,,-0.4324000000000001,-0.05389999999999995,,,-11.529599999999995,0.16190000000000004
2015-04-01,,,-4.1547,-0.3761000000000001,,,-10.251899999999994,-0.009099999999999995
