Date,Price,Change
1999-11-29,90.12,
1999-11-30,89.75,-0.004105636928539824
1999-12-01,91.06,0.014596100278551516
1999-12-02,93.06,0.021963540522732306
1999-12-03,95.81,0.029550827423167947
1999-12-06,95.25,-0.0058449013672894345
1999-12-07,94.75,-0.005249343832021025
1999-12-08,93.12,-0.01720316622691287
1999-12-09,92.0,-0.012027491408934776
1999-12-10,93.37,0.01489130434782604
1999-12-13,93.61,0.0025704187640569476
1999-12-14,96.19,0.0275611579959405
1999-12-15,98.56,0.024638735835325942
1999-12-16,109.25,0.10846185064935066
1999-12-17,116.62,0.06745995423340956
1999-12-20,114.81,-0.015520493911850508
1999-12-21,112.37,-0.0212525041372702
1999-12-22,116.3,0.03497374744148796
1999-12-23,117.25,0.008168529664660307
1999-12-27,118.44,0.010149253731343233
1999-12-28,118.75,0.002617359000337771
1999-12-29,116.94,-0.015242105263157946
1999-12-30,117.87,0.007952796305797927
1999-12-31,117.5,-0.0031390514974124484
2000-01-03,117.37,-0.0011063829787233415
2000-01-04,113.56,-0.03246144670699502
2000-01-05,111.12,-0.021486438886932024
2000-01-06,112.19,0.009629229661626937
2000-01-07,108.62,-0.0318210179160352
2000-01-10,113.44,0.044374884919904156
2000-01-11,111.5,-0.017101551480959043
2000-01-12,108.5,-0.026905829596412523
2000-01-13,104.37,-0.038064516129032167
2000-01-14,107.19,0.027019258407588342
2000-01-18,111.81,0.04310103554436062
2000-01-19,110.5,-0.011716304445040682
2000-01-20,107.06,-0.031131221719457036
2000-01-21,107.0,-0.0005604334018307622
2000-01-24,103.8,-0.029906542056074792
2000-01-25,101.0,-0.026974951830443183
2000-01-26,102.44,0.01425742574257427
2000-01-27,99.89,-0.024892620070285032
2000-01-28,98.12,-0.0177194914405846
2000-01-31,97.62,-0.005095801059926575
2000-02-01,98.5,0.009014546199549223
2000-02-02,102.44,0.040000000000000036
2000-02-03,102.06,-0.0037094884810620066
2000-02-04,104.37,0.02263374485596703
2000-02-07,106.81,0.023378365430679393
2000-02-08,106.44,-0.0034640951221796
2000-02-09,109.44,0.028184892897406888
2000-02-10,103.89,-0.05071271929824561
2000-02-11,104.87,0.009433054191933854
2000-02-14,101.23,-0.03470964050729475
2000-02-15,99.75,-0.014620171885804667
2000-02-16,99.25,-0.005012531328320802
2000-02-17,98.5,-0.007556675062972307
2000-02-18,100.0,0.015228426395939021
2000-02-22,95.12,-0.048799999999999955
2000-02-23,93.5,-0.017031118587047978
2000-02-24,94.25,0.008021390374331583
2000-02-25,94.69,0.0046684350132626395
2000-02-28,90.25,-0.04688985109304045
2000-02-29,91.75,0.016620498614958512
2000-03-01,89.62,-0.02321525885558573
2000-03-02,91.81,0.02443650970765443
2000-03-03,94.75,0.03202265548415206
2000-03-06,96.0,0.013192612137203241
2000-03-07,96.12,0.0012499999999999734
2000-03-08,93.81,-0.024032459425717856
2000-03-09,95.31,0.015989766549408424
2000-03-10,99.56,0.044591333543174905
2000-03-13,97.62,-0.019485737243873036
2000-03-14,98.62,0.010243802499487753
2000-03-15,94.56,-0.04116812005678361
2000-03-16,95.94,0.014593908629441543
2000-03-17,95.25,-0.007191994996873063
2000-03-20,98.75,0.036745406824147064
2000-03-21,96.75,-0.020253164556962022
2000-03-22,102.81,0.06263565891472878
2000-03-23,106.81,0.038906721136076294
2000-03-24,112.62,0.054395655837468526
2000-03-27,107.77,-0.043065174924524996
2000-03-28,103.62,-0.03850793356221571
2000-03-29,105.19,0.015151515151515138
2000-03-30,106.19,0.009506607091928965
2000-03-31,106.0,-0.0017892456916847044
2000-04-03,94.44,-0.10905660377358495
2000-04-04,91.56,-0.030495552731893194
2000-04-05,88.25,-0.036151157710790804
2000-04-06,87.87,-0.004305949008498566
2000-04-07,87.0,-0.00990099009900991
2000-04-10,88.62,0.018620689655172384
2000-04-11,85.12,-0.03949447077409163
2000-04-12,82.12,-0.03524436090225569
2000-04-13,80.87,-0.015221626887481743
2000-04-14,79.12,-0.021639668603932183
2000-04-17,74.25,-0.06155207280080899
2000-04-18,76.5,0.030303030303030276
2000-04-19,81.44,0.06457516339869285
2000-04-20,78.62,-0.03462671905697434
2000-04-24,67.25,-0.14461968964640048
2000-04-25,68.75,0.02230483271375472
2000-04-26,70.0,0.018181818181818077
2000-04-27,67.44,-0.03657142857142859
2000-04-28,70.75,0.04908066429418745
2000-05-01,72.87,0.029964664310954126
2000-05-02,72.81,-0.0008233841086867644
2000-05-03,70.37,-0.033511880236231306
2000-05-04,70.31,-0.000852636066505652
2000-05-05,70.25,-0.0008533636751528739
2000-05-08,70.94,0.009822064056939528
2000-05-09,70.19,-0.010572314632083413
2000-05-10,67.75,-0.03476278672175526
2000-05-11,66.62,-0.01667896678966785
2000-05-12,68.44,0.027319123386370325
2000-05-15,69.0,0.008182349503214503
2000-05-16,69.56,0.008115942028985579
2000-05-17,68.87,-0.009919493962047166
2000-05-18,68.06,-0.011761289385799345
2000-05-19,65.37,-0.03952394945636195
2000-05-22,65.12,-0.003824384274131898
2000-05-23,63.88,-0.01904176904176902
2000-05-24,63.13,-0.011740763932373222
2000-05-25,64.56,0.022651671154759967
2000-05-26,62.06,-0.038723667905824044
2000-05-30,62.44,0.006123106670963496
2000-05-31,63.64,0.019218449711723373
2000-06-01,64.37,0.011470773098680054
2000-06-02,66.0,0.025322355134379304
2000-06-05,66.02,0.00030303030303024947
2000-06-06,68.19,0.03286882762799159
2000-06-07,69.25,0.015544801290511945
2000-06-08,71.56,0.033357400722021646
2000-06-09,69.62,-0.027110117384013366
