Date,sentiment_score
2011-09-08,0.3612
2013-06-08,-0.6597
2015-05-26,0.0772
2015-08-03,0.5423
2015-10-01,0.25
2015-11-13,0.0
2015-11-20,0.0
2015-12-17,-0.2023
2015-12-28,0.1513
2015-12-29,-0.7351
2015-12-30,-1.4710999999999999
2015-12-31,-2.4079
2016-01-01,-0.4514999999999999
2016-01-02,0.5115000000000001
2016-01-03,-2.7105
2016-01-04,-3.5195
2016-01-05,-4.204599999999999
2016-01-06,-3.5028000000000006
2016-01-07,-1.9347
2016-01-08,-3.3335
2016-01-09,-1.0511000000000001
2016-01-10,0.5053000000000001
2016-01-11,-2.0808999999999997
2016-01-12,-2.7293000000000003
2016-01-13,-1.9903000000000002
2016-01-14,0.8770999999999999
2016-01-15,-1.6714999999999998
2016-01-16,-2.7783999999999995
2016-01-17,0.45080000000000003
2016-01-18,-0.5052000000000001
2016-01-19,0.18400000000000022
2016-01-20,-0.18020000000000003
2016-01-21,-6.5133
2016-01-22,-1.1803
2016-01-23,-0.37310000000000004
2016-01-24,-0.12839999999999985
2016-01-25,-2.5893999999999995
2016-01-26,-2.4932000000000007
2016-01-27,0.8980999999999999
2016-01-28,1.9126999999999998
2016-01-29,-1.2907
2016-01-30,-0.5130999999999999
2016-01-31,-2.3396
2016-02-01,-1.6084000000000003
2016-02-02,-0.6082000000000002
2016-02-03,-1.0810000000000002
2016-02-04,-0.23479999999999973
2016-02-05,-3.8254000000000006
2016-02-06,-0.6127000000000002
2016-02-07,-1.2252
2016-02-08,-4.603699999999999
2016-02-09,0.5106
2016-02-10,-0.7537999999999999
2016-02-11,-1.4956000000000003
2016-02-12,-1.8490999999999995
2016-02-13,-2.8357
2016-02-14,1.7779999999999996
2016-02-15,-4.9257
2016-02-16,-0.7737999999999997
2016-02-17,-3.0211000000000006
2016-02-18,-0.7992000000000001
2016-02-19,1.3674
2016-02-20,0.09510000000000007
2016-02-21,-0.15950000000000003
2016-02-22,-2.1667
2016-02-23,-0.7550000000000001
2016-02-24,-0.1107999999999999
2016-02-25,-1.1067
2016-02-26,-2.0669
2016-02-27,-0.6288000000000001
2016-02-28,-0.8464
2016-02-29,-4.2095
2016-03-01,-0.40579999999999994
2016-03-02,0.005199999999999649
2016-03-03,0.5336
2016-03-04,-1.9367
2016-03-05,-1.8681999999999999
2016-03-06,0.14190000000000003
2016-03-07,-1.121
2016-03-08,-1.4608000000000003
2016-03-09,-0.9238000000000002
2016-03-10,-0.7852000000000001
2016-03-11,-3.7242000000000006
2016-03-12,-3.8495
2016-03-13,-2.9945
2016-03-14,-0.6095
2016-03-15,-1.1245999999999998
2016-03-16,3.6822
2016-03-17,-2.065
2016-03-18,-1.3405000000000002
2016-03-19,-2.4059
2016-03-20,0.2850999999999999
2016-03-21,0.6942000000000002
2016-03-22,-3.8056999999999994
2016-03-23,-5.8563
2016-03-24,-6.079599999999999
2016-03-25,-4.0553
2016-03-26,-0.17700000000000016
2016-03-27,-2.7132
2016-03-28,0.4404
2016-03-29,-0.6288
2016-03-30,0.2886999999999998
2016-03-31,-4.2898
2016-04-01,-2.2250000000000005
2016-04-02,-3.3153
2016-04-03,-2.5303
2016-04-04,-2.4627
2016-04-05,-2.2502999999999997
2016-04-06,-1.7782999999999998
2016-04-07,-0.9347000000000001
2016-04-08,-5.476299999999999
2016-04-09,-0.9275999999999995
