Date,sentiment_score,polar_score
2014-06-20,0.0,0.0
2014-06-30,0.0,0.0
2014-07-01,0.0,0.0
2014-07-02,0.4588,0.9176
2014-07-03,0.0,0.0
2014-07-07,0.0,0.0
2014-07-09,-0.34,-0.68
2014-07-14,0.0,0.0
2014-07-21,0.0,0.0
2014-07-25,0.34,0.68
2014-08-06,-0.7506,-1.5012
2014-08-07,0.50935,1.0187
2014-08-08,0.0,0.0
2014-08-14,0.0,0.0
2014-08-15,0.2354,0.4708
2014-08-25,0.0,0.0
2014-08-28,0.19935,0.3987
2014-08-29,-0.5994,-1.1988
2014-09-01,0.6369,1.2738
2014-09-16,0.0,0.0
2014-09-22,0.0,0.0
2014-09-26,0.6249,1.2498
2014-09-30,0.0,0.0
2014-10-08,0.0,0.0
2014-10-24,0.0,0.0
2014-10-28,-0.2023,-0.4046
2014-10-31,0.0,0.0
2014-11-03,0.0,0.0
2014-11-06,-0.4939,-0.9878
2014-11-07,0.0,0.0
2014-11-10,0.2263,0.4526
2014-11-12,-0.5106,-1.0212
2014-11-13,0.0,0.0
2014-11-18,0.0,0.0
2014-11-20,0.5106,1.0212
2014-11-25,0.0,0.0
2014-11-26,-0.6858,-1.3716
2014-12-01,0.0772,0.1544
2014-12-03,0.0,0.0
2014-12-04,0.0,0.0
2014-12-05,0.0,0.0
2014-12-08,0.0,0.0
2014-12-09,-0.6486,-1.2972
2014-12-10,0.0703,0.1406
2014-12-11,0.3818,0.7636
2014-12-15,0.24925000000000003,0.49850000000000005
2014-12-16,0.0,0.0
2014-12-17,0.0,0.0
2014-12-18,-0.4767,-0.9534
2014-12-19,0.09984,0.2969
2014-12-23,0.0,0.0
2014-12-26,-0.3182,-0.6364
2014-12-29,0.07543333333333334,0.2263
2014-12-30,0.0895,0.2739
2014-12-31,-0.14995833333333336,-0.29480000000000006
2015-01-01,-0.04571818181818181,-0.19379999999999997
2015-01-02,-0.17633611111111114,-0.1492
2015-01-05,-0.28186,-0.8519
2015-01-06,0.10081,0.16510000000000002
2015-01-07,-0.229275,-0.4767
2015-01-08,-0.3600857142857143,-0.7003
2015-01-09,-0.15054545454545448,-0.24309999999999998
2015-01-12,-0.27513478260869567,-0.8591
2015-01-13,-0.1605235294117647,-0.134
2015-01-14,-0.1890514285714286,-0.2501
2015-01-15,-0.00298387096774194,-0.22709999999999997
2015-01-16,-0.09974583333333335,-0.08099999999999996
2015-01-19,-0.12245714285714286,-0.2276999999999999
2015-01-20,-0.1565809523809524,-0.1835
2015-01-21,-0.10620512820512819,-0.137
2015-01-22,-0.0711857142857143,0.0
2015-01-23,-0.10140129870129873,0.021199999999999997
2015-01-26,0.01458846153846153,-0.04919999999999991
2015-01-27,0.06638399999999998,-0.21550000000000002
2015-01-28,-0.1230846153846154,-0.07109999999999994
2015-01-29,-0.014449999999999996,0.10550000000000004
2015-01-30,-0.08545806451612903,-0.0515000000000001
2015-02-02,-0.001242857142857117,0.0
2015-02-03,0.0461375,-0.13590000000000002
2015-02-04,-0.11373076923076922,-0.25429999999999997
2015-02-05,-0.00532916666666666,-0.0683999999999999
2015-02-06,-0.2046485714285714,-0.4088
2015-02-09,0.07721428571428571,0.31420000000000003
2015-02-10,0.016509523809523814,-0.30069999999999997
2015-02-11,-0.17844545454545455,-0.5521
2015-02-12,-0.004516666666666651,-0.18019999999999992
2015-02-13,-0.07386428571428572,-0.030299999999999994
2015-02-16,-0.052759999999999994,-0.07250000000000001
2015-02-17,-0.007675000000000001,0.1472
2015-02-18,-0.0029090909090909115,-0.1723
2015-02-19,-0.16710333333333335,-0.33910000000000007
2015-02-20,-0.030281249999999992,-0.07750000000000001
2015-02-23,-0.054824999999999985,-0.21929999999999994
2015-02-24,0.0,0.0
2015-02-25,-0.06382857142857143,-0.36959999999999993
2015-02-26,-0.054306666666666684,0.013000000000000012
2015-02-27,-0.15303199999999997,-0.21930000000000005
2015-03-02,-0.1953,-0.5859
2015-03-04,-0.02054285714285714,0.1522
2015-03-05,-0.01544,-0.0772
2015-03-06,-0.09580701754385962,-0.1592
2015-03-09,-0.15180800000000003,-0.1593
2015-03-10,-0.1944135135135135,-0.245
2015-03-11,-0.15043043478260867,-0.2047
2015-03-12,-0.004183333333333328,-0.11399999999999999
2015-03-13,-0.09035806451612904,0.015199999999999991
2015-03-16,-0.16,-0.41050000000000003
2015-03-17,-0.09198620689655174,-0.17190000000000005
2015-03-18,-0.20180606060606057,-0.3953
2015-03-19,-0.1088235294117647,-0.20640000000000003
2015-03-20,-0.16197894736842108,-0.30010000000000003
2015-03-23,-0.07590952380952379,-0.3826
2015-03-24,-0.11822380952380954,-0.23860000000000003
2015-03-25,-0.02866875,0.08740000000000003
2015-03-26,0.002328000000000001,0.11440000000000006
2015-03-27,-0.06829076923076924,-0.22219999999999995
2015-03-30,-0.09446249999999996,-0.34320000000000006
2015-03-31,-0.01801666666666667,-0.05389999999999995
2015-04-01,-0.1731125,-0.37610000000000005
2015-04-02,-0.06016052631578949,-0.08740000000000003
2015-04-03,-0.1749403225806451,-0.3012
2015-04-06,-0.17891818181818175,-0.267
2015-04-07,-0.09173,-0.19909999999999994
2015-04-08,-0.1056086956521739,-0.1490999999999999
2015-04-09,-0.11082222222222221,-0.23819999999999997
2015-04-10,-0.1030065573770492,-0.1986
2015-04-13,-0.184795,-0.5539
2015-04-14,-0.25846206896551727,-0.245
2015-04-15,-0.1207037037037037,-0.09040000000000004
2015-04-16,-0.1762074074074074,-0.047599999999999976
2015-04-17,-0.18929333333333329,-0.30699999999999994
2015-04-20,-0.02616296296296296,-0.10229999999999995
2015-04-21,-0.035539999999999995,-0.07640000000000002
2015-04-22,0.11707999999999999,0.5089
2015-04-23,-0.17216,-0.5043
2015-04-24,-0.06837118644067797,-0.19909999999999994
2015-04-28,0.07611666666666667,0.1835
2015-04-29,-0.12388000000000003,-0.19750000000000006
2015-04-30,-0.3365833333333333,-0.5871
2015-05-01,-0.10974594594594592,-0.06540000000000001
2015-05-04,-0.07331304347826087,-0.17569999999999997
2015-05-05,0.05791428571428573,0.2627
2015-05-06,-0.029241379310344838,-0.2026
2015-05-07,0.07844,-0.056900000000000006
2015-05-08,-0.03820909090909091,-0.07219999999999993
2015-05-11,0.2202,0.4404
2015-05-12,0.022566666666666662,-0.16059999999999997
2015-05-13,0.031142857142857142,0.1628
2015-05-14,-0.028550000000000013,0.06220000000000003
2015-05-15,-0.12237307692307693,-0.1634
2015-05-18,-0.099,-0.3332
2015-05-19,-0.16683055555555557,-0.06689999999999996
2015-05-20,0.016645454545454554,-0.08419999999999994
2015-05-21,-0.10961538461538461,-0.18430000000000002
2015-05-22,-0.1835918367346939,-0.3498
2015-05-25,-0.12395789473684213,-0.20640000000000003
2015-05-26,-0.10623333333333333,-0.046599999999999975
2015-05-27,-0.17820851063829787,-0.24070000000000003
2015-05-28,-0.03388636363636364,-0.24219999999999997
2015-05-29,-0.0991940298507463,-0.02939999999999998
2015-06-01,-0.11663684210526318,-0.1814
2015-06-02,-0.02280606060606061,0.13560000000000005
2015-06-03,-0.12772444444444445,-0.3175
2015-06-04,0.011441463414634149,-0.042199999999999904
2015-06-05,-0.0848152777777778,-0.17209999999999992
2015-06-08,-0.12317407407407409,-0.17200000000000004
2015-06-09,-0.13712894736842104,-0.1835
2015-06-10,-0.23655263157894743,-0.19909999999999994
2015-06-11,-0.08723333333333333,-0.12370000000000003
2015-06-12,-0.06867179487179487,-0.18830000000000002
2015-06-15,-0.20348823529411766,-0.40010000000000007
2015-06-16,-0.12536315789473687,-0.14780000000000004
2015-06-17,-0.10792244897959186,-0.009500000000000064
2015-06-18,-0.19103589743589747,-0.25769999999999993
2015-06-19,-0.07857926829268294,0.0
2015-06-22,0.0036647058823529293,0.02190000000000003
2015-06-23,-0.12135128205128207,-0.17810000000000004
2015-06-24,-0.2000368421052631,-0.6255999999999999
2015-06-25,0.020755555555555562,-0.028299999999999992
2015-06-26,-0.049331428571428575,-0.054400000000000004
2015-06-29,0.063675,0.2547
2015-06-30,0.10190999999999999,0.12370000000000003
2015-07-01,-0.07620967741935483,-0.08889999999999998
2015-07-02,-0.07879545454545454,0.011499999999999955
2015-07-03,-0.06562894736842105,-0.1856
2015-07-06,-0.26827142857142855,-0.4226
2015-07-07,0.03718461538461539,-0.024699999999999944
2015-07-08,-0.1051793103448276,-0.43400000000000005
2015-07-09,-0.10236842105263158,0.06410000000000005
2015-07-10,-0.06130363636363636,-0.19019999999999992
2015-07-13,-0.04338636363636365,-0.1120000000000001
