Date,sentiment_score,polar_score
2011-09-08,0.3612,0.7224
2013-06-07,-0.6597,-1.3194
2015-05-26,0.0772,0.1544
2015-08-03,0.5423,1.0846
2015-10-01,0.25,0.5
2015-11-13,0.0,0.0
2015-11-20,0.0,0.0
2015-12-17,-0.2023,-0.4046
2015-12-28,0.07565,0.1513
2015-12-29,-0.7351,-1.4702
2015-12-30,-0.18388749999999998,-0.5719
2015-12-31,-0.120395,-0.18170000000000008
2016-01-01,-0.0662625,-0.13770000000000004
2016-01-04,-0.19552777777777777,-0.1281
2016-01-05,-0.2212947368421052,-0.2076
2016-01-06,-0.19460000000000002,-0.14200000000000002
2016-01-07,-0.077388,-0.20640000000000003
2016-01-08,-0.07460192307692307,0.03700000000000003
2016-01-11,-0.10404499999999998,-0.10509999999999997
2016-01-12,-0.136465,-0.3826
2016-01-13,-0.09477619047619049,-0.007900000000000018
2016-01-14,0.04385499999999999,0.29569999999999996
2016-01-15,-0.07690576923076922,-0.08379999999999999
2016-01-18,-0.02806666666666667,-0.13770000000000004
2016-01-19,0.008363636363636373,-0.11309999999999998
2016-01-20,-0.009484210526315791,0.12749999999999995
2016-01-21,-0.22459655172413792,-0.35120000000000007
2016-01-22,-0.032342307692307684,-0.06789999999999996
2016-01-25,-0.13628421052631576,-0.34109999999999996
2016-01-26,-0.131221052631579,-0.23319999999999996
2016-01-27,0.04082272727272727,0.14949999999999997
2016-01-28,0.08316086956521739,0.34079999999999994
2016-01-29,-0.082868,-0.11140000000000005
2016-02-01,-0.08042000000000002,-0.07800000000000007
2016-02-02,-0.03201052631578948,-0.131
2016-02-03,-0.05147619047619049,0.011099999999999999
2016-02-04,-0.011180952380952368,0.06459999999999999
2016-02-05,-0.12049574468085109,-0.2126
2016-02-08,-0.23018499999999995,-0.22709999999999997
2016-02-09,0.5106,1.0212
2016-02-10,-0.037689999999999994,0.1231000000000001
2016-02-11,-0.06231666666666668,-0.0746
2016-02-12,-0.046883870967741936,-0.041100000000000025
2016-02-15,-0.3518357142857143,-0.6295
2016-02-16,-0.03868999999999999,0.052200000000000024
2016-02-17,-0.1313521739130435,-0.11980000000000002
2016-02-18,-0.038057142857142866,-0.19840000000000002
2016-02-19,0.036194444444444446,0.0242
2016-02-22,-0.12037222222222223,0.04400000000000004
2016-02-23,-0.03595238095238096,-0.17910000000000004
2016-02-24,-0.005831578947368416,-0.32330000000000003
2016-02-25,-0.055335,-0.11309999999999998
2016-02-26,-0.0668320754716981,-0.17710000000000004
2016-02-29,-0.2215526315789474,-0.2711
2016-03-01,-0.020289999999999996,0.048799999999999955
2016-03-02,0.00027368421052629735,-0.1736000000000001
2016-03-03,0.021344,0.2276999999999999
2016-03-04,-0.06426315789473683,-0.13290000000000002
2016-03-07,-0.05338095238095238,-0.29069999999999996
2016-03-08,-0.06086666666666668,0.05809999999999993
2016-03-09,-0.051322222222222234,-0.2187
2016-03-10,-0.0356909090909091,0.041000000000000036
2016-03-11,-0.1822103448275862,-0.12309999999999999
2016-03-14,-0.029023809523809525,-0.23060000000000003
2016-03-15,-0.05355238095238094,0.1018
2016-03-16,0.17534285714285713,-0.08019999999999994
2016-03-17,-0.09833333333333333,-0.11560000000000004
2016-03-18,-0.05674262295081968,-0.1078
2016-03-21,0.04338750000000001,-0.19469999999999998
2016-03-22,-0.16546521739130432,-0.3286
2016-03-23,-0.23425200000000002,-0.17810000000000004
2016-03-24,-0.2895047619047619,-0.4297
2016-03-25,-0.14174489795918369,-0.1594
2016-03-28,0.2202,0.4404
2016-03-29,-0.028581818181818184,0.2512
2016-03-30,0.013122727272727263,0.19119999999999993
2016-03-31,-0.21449,-0.31379999999999997
2016-04-01,-0.14673818181818185,-0.1663
2016-04-04,-0.16418,-0.3115
2016-04-05,-0.10715714285714284,-0.046599999999999975
2016-04-06,-0.09879444444444443,-0.20519999999999994
2016-04-07,-0.04248636363636364,0.11019999999999996
2016-04-08,-0.20342765957446807,-0.32220000000000004
2016-04-11,-0.100885,0.0
2016-04-12,-0.10926666666666666,-0.014499999999999957
2016-04-13,0.0,0.0
2016-04-14,0.022341176470588236,-0.10980000000000001
2016-04-15,-0.1647488888888889,-0.10930000000000006
2016-04-18,0.05278888888888889,0.0998
2016-04-19,-0.04268888888888889,-0.1763
2016-04-20,0.10622666666666668,0.1644
2016-04-21,-0.08230869565217393,-0.24650000000000005
2016-04-22,-0.045431034482758606,-0.0393
2016-04-25,-0.08009000000000001,-0.2663
2016-04-26,-0.1652625,-0.05300000000000005
2016-04-27,-0.15083478260869568,-0.014399999999999968
2016-04-28,-0.16790434782608696,-0.39559999999999995
2016-04-29,-0.060632075471698126,0.08650000000000002
2016-05-02,-0.05284705882352941,-0.0693999999999999
2016-05-03,-0.0047954545454545455,-0.10980000000000001
2016-05-04,-0.11699565217391304,-0.0695
2016-05-05,-0.13490000000000002,-0.031399999999999983
2016-05-06,-0.18921475409836064,-0.18990000000000007
2016-05-09,-0.04840454545454545,-0.1089
2016-05-10,0.04360833333333334,-0.09750000000000003
2016-05-11,-0.12001739130434784,-0.014900000000000024
2016-05-12,-0.18625416666666664,-0.16949999999999998
2016-05-13,-0.11421206896551726,-0.32820000000000005
2016-05-16,0.06171304347826087,0.08789999999999998
2016-05-17,-0.07335238095238097,-0.30310000000000004
2016-05-18,0.03399500000000001,-0.10229999999999995
2016-05-19,-0.00962068965517242,0.1552
2016-05-20,-0.093615873015873,-0.19019999999999992
2016-05-23,-0.08976666666666666,-0.23120000000000007
2016-05-24,-0.18336363636363637,-0.05569999999999997
