Date,author,content,number_of_likes,number_of_shares
2015-10-12 19:07:00,YouTube,#WhiteAndGold vs. #BlueAndBlack https://t.co/pMy0YoNZ1s #YouTubeRewind https://t.co/hpjlEIJIhu,6178,1463
2015-10-12 19:40:00,YouTube,Now you can watch the entire #YouTubeRewind video in less time than it takes to whip and nae nae. https://t.co/wKr7oI31H0,2912,841
2015-10-12 20:00:00,YouTube,What if everything you touched turned to pizza? #YouTubeRewind can make it happen. https://t.co/pMy0YoNZ1s @ZozeeBo https://t.co/CywBdvh3Jk,2788,663
2015-10-12 22:00:00,YouTube,#YouTubeRewind’s got @lifeaseva feeling all sharkly. https://t.co/pMy0YoNZ1s https://t.co/u0sUNrxoDN,1718,253
2015-11-12 00:00:00,YouTube,It’s #YouTubeRewind and @LOHANTHONY’s pink da ba dee da ba die!!! https://t.co/pMy0YoNZ1s https://t.co/ES96HeGawV,2649,464
2015-11-12 20:51:00,YouTube,Transition through a YouTube wormhole with our brand new time machine → https://t.co/LnqZ8oo0Ib https://t.co/jD2tfZifGQ,1031,231
2015-11-12 20:57:00,YouTube,.@johngreen and @hankgreen are streaming live for the #P4A now! Go check out the weirdness! https://t.co/PcaUGEiSEg https://t.co/0pM24U7Seh,1517,322
2015-11-12 21:45:00,YouTube,".@BethanyMota’s known to let the beat … mmm, drop! https://t.co/pMy0YoNZ1s https://t.co/rA6oJ0TZ4g",1428,235
2015-11-12 22:16:00,YouTube,Listen to @FLOTUS &amp; @JayPharoah: go to college. https://t.co/eza7svszLC https://t.co/xxq03gPBju,1040,233
2015-11-12 23:00:00,YouTube,You know when that #YouTubeRewind bling! https://t.co/pMy0YoNZ1s https://t.co/l5rHjPcQC1,1723,331
2015-12-12 18:00:00,YouTube,Danny MacAskill’s good at bikes. https://t.co/5qnnLDfvOu https://t.co/t8CY5RS6fB,2224,604
2015-12-13 18:00:00,YouTube,Shortayyyy! https://t.co/pMy0YoNZ1s 🐬🐬🐬 https://t.co/ol97jmQHtd,1718,390
2015-12-14 21:00:00,YouTube,Which pie will Pizza Rat love most? https://t.co/xaYr5iDFLv https://t.co/srWMeTbdQP,979,146
2015-12-14 22:00:00,YouTube,Have a creeptastic holiday with the Property Brothers. https://t.co/s1MALVlYA0 https://t.co/b39wQgMiwI,1316,172
2015-12-14 23:00:00,YouTube,A simple reminder that anything is possible → https://t.co/lZndWipr11 https://t.co/sd3VlJ15bG,1604,377
2015-12-15 00:00:00,YouTube,Now watch us whip ... now watch the top ten videos of 2015. https://t.co/NHTDBb5kNK https://t.co/n8pRmfXMrv,1563,317
2015-12-15 01:00:00,YouTube,This theme park sucks and we want to go home now! https://t.co/LUPnvcgSX8 https://t.co/tk9jj6fFX3,1287,274
2015-12-15 02:00:00,YouTube,100 years of Chinese beauty → https://t.co/B8Vzazh8Sc https://t.co/P674y4dxBs,1105,225
2015-12-15 03:18:00,YouTube,@JKCorden We never knew that we could watch a 42 second video so many times in one day...,125,31
2015-12-15 03:19:00,YouTube,@rclbeauty101 Happy fast five! We're so proud of you!,801,86
2015-12-15 03:19:00,YouTube,@thefinebros @IISuperwomanII @LindseyStirling THE BEST OF BOTH WORLDS!,337,40
2015-12-15 03:19:00,YouTube,@shaymitch Amazing! How far you've come in a year!,820,214
2015-12-15 19:00:00,YouTube,Everybody was Cat Fu fighting! https://t.co/DGoq96g6d2 https://t.co/kxFe7NXlRG,2212,734
2015-12-15 23:00:00,YouTube,"Bro, do you even drift? https://t.co/yr4B3wE1Sw https://t.co/FioLxI2xOw",522,111
2015-12-16 00:00:00,YouTube,Just dough it! https://t.co/aeLtCOD3pZ https://t.co/DFV389eoms,1304,270
2015-12-16 01:00:00,YouTube,The view from a tree in 360 degrees → https://t.co/GWeD26qJUl https://t.co/Mwlzup2TFM,1340,287
2015-12-16 20:33:00,YouTube,Take a look back at some of the moments that defined 2015. https://t.co/bdryhNTS5D #YearInSearch https://t.co/ZpmAiRPT1r,1439,364
2015-12-16 22:30:00,YouTube,Boba Fett vs. Deadpool. Who won? https://t.co/rDfDPELs69 #EpicRapBattlesOfHistory https://t.co/2HMUgOBU0v,1901,496
2015-12-16 23:30:00,YouTube,The @onedirection dudes crush carpool karaoke with @JKCorden. https://t.co/i2nxfNyVIK https://t.co/dLy85PQuem,3620,2455
2015-12-17 01:00:00,YouTube,[LIVE] @atrak gets crazy on the turntables at YouTube Space LA. https://t.co/Ed2ReLSobs #musicfreedom https://t.co/VwXOTQwD1K,566,77
2015-12-17 01:30:00,YouTube,.@JimmyFallon and the cast of #StarWars drop an a cappella space jam. https://t.co/ZNafQJBoSp https://t.co/1sDAxqtiFj,2161,778
2015-12-17 02:30:00,YouTube,100 years worth of toys → https://t.co/EPE17l4AKg https://t.co/tHi1W7xMbN,1229,281
