Date,sentiment_score,heuristic_score
2011-06-23,0.3612,-inf
2011-06-24,0.0,
2011-06-27,0.8569,-inf
2011-07-01,1.2659,-inf
2011-07-05,0.802,
2011-07-06,-0.7603,inf
2011-07-07,0.5462,
2011-07-08,-3.0577,inf
2011-07-11,0.0,
2011-07-12,0.265,
2011-07-13,-0.3612,inf
2011-07-14,-0.20539999999999992,
2011-07-15,0.4638,
2011-07-18,1.0747,
2011-07-19,-0.7837000000000001,
2011-07-20,-0.07240000000000002,
2011-07-21,-0.6249,inf
2011-07-22,-0.5859,
2011-07-25,-0.5165,
2011-07-26,-1.1588,
2011-07-27,-1.6458,
2011-07-28,-0.6172,
2011-07-29,0.9924999999999999,
2011-07-30,-0.6602,inf
2011-08-01,0.22810000000000002,
2011-08-02,-1.3861999999999999,
2011-08-03,0.14439999999999997,
2011-08-04,-0.7599,
2011-08-05,-0.6344000000000001,
2011-08-08,0.3818,
2011-08-09,-0.6721000000000001,
2011-08-10,0.11639999999999995,
2011-08-11,0.0,
2011-08-12,0.7201,-inf
2011-08-13,0.8409000000000001,
2011-08-15,-0.012900000000000023,
2011-08-16,0.0,
2011-08-17,-0.007499999999999951,
2011-08-18,-0.07799999999999996,
2011-08-19,0.9621999999999999,
2011-08-22,-0.24459999999999998,
2011-08-23,-1.7359,
2011-08-24,-0.3986,
2011-08-25,-0.08450000000000002,
2011-08-26,0.4307000000000001,
2011-08-29,-0.45629999999999993,
2011-08-30,-0.3207,
2011-08-31,-0.40470000000000006,
2011-09-01,-1.7413,
2011-09-02,-0.7708999999999999,
2011-09-06,-0.8872,
2011-09-07,0.7845000000000001,
2011-09-08,1.3715000000000002,
2011-09-09,-0.07390000000000002,
2011-09-12,-0.19469999999999998,
2011-09-13,1.6772999999999998,
2011-09-14,-0.013900000000000023,
2011-09-15,1.4983,
2011-09-16,2.3217,
2011-09-19,0.406,
2011-09-20,-0.7686,
2011-09-21,1.4123,
2011-09-22,-0.5928000000000001,
2011-09-23,0.4511,
2011-09-26,-1.2614,inf
2011-09-27,-0.6653,
2011-09-28,2.2538,
2011-09-29,0.11420000000000002,
2011-09-30,-0.46930000000000005,
2011-10-03,-0.512,
2011-10-04,1.3803999999999998,
2011-10-05,-0.16849999999999998,
2011-10-06,-1.3129,
2011-10-07,-0.9010999999999999,
2011-10-11,0.2725,
2011-10-12,0.8169,
2011-10-13,0.0,
2011-10-14,-2.0235,inf
2011-10-15,0.0,
2011-10-16,0.7184,-inf
2011-10-17,-0.18649999999999994,
2011-10-18,-1.4154999999999998,
2011-10-19,-0.7829,
2011-10-20,-1.2864,
2011-10-21,-1.4856,
2011-10-24,-0.07080000000000009,
2011-10-25,1.3824,
2011-10-26,-0.11030000000000001,
2011-10-27,0.6998000000000002,
2011-10-28,-0.5742,
2011-10-31,0.0,
2011-11-01,-1.7437,
2011-11-02,-2.1547,
2011-11-04,-1.2859,
2011-11-08,-0.8037000000000001,
2011-11-09,-0.42119999999999996,
2011-11-10,0.1754000000000001,
2011-11-11,0.9993000000000001,
2011-11-14,0.027199999999999946,
2011-11-15,-0.2338,
2011-11-16,0.7135999999999999,
2011-11-17,-1.1174,
2011-11-18,-1.5992,
2011-11-21,0.6914,
2011-11-22,-0.7936000000000001,
2011-11-23,1.4079,
2011-11-28,0.5217,
2011-11-29,-1.3529000000000002,
2011-11-30,0.5468000000000002,
2011-12-01,-1.2633,
2011-12-02,1.1059999999999999,
2011-12-05,-1.1672000000000002,
2011-12-06,1.0039,
2011-12-07,-0.6505,inf
2011-12-08,2.9353999999999996,
2011-12-09,3.0213,
2011-12-12,-0.4319,
2011-12-13,0.5672,
2011-12-14,-0.38539999999999996,
2011-12-15,1.5272999999999999,
2011-12-16,3.1449999999999996,
2011-12-19,-0.7522000000000001,
2011-12-20,2.8597,
2011-12-21,2.1396,
2011-12-22,1.8721,
2011-12-27,-2.6334,inf
2011-12-28,0.3661000000000002,
2011-12-29,-0.8391,
2011-12-30,-0.2714000000000001,
2012-01-03,0.30079999999999996,
2012-01-04,2.4351000000000003,
2012-01-05,0.27519999999999994,
2012-01-06,2.6399999999999997,
2012-01-09,-0.1995,
2012-01-10,0.8553,
2012-01-11,0.9656,-inf
2012-01-13,-0.7987,
2012-01-16,-0.4588,inf
2012-01-17,-1.4009,
2012-01-18,-0.7424000000000001,
2012-01-19,2.3428999999999998,
2012-01-20,-1.381,
2012-01-23,-0.2258,
2012-01-24,-1.4098000000000002,
2012-01-25,0.1322000000000001,
2012-01-27,0.6512999999999999,
2012-01-30,-0.6697,inf
2012-01-31,-1.3883999999999999,
2012-02-01,-1.0396,
2012-02-02,0.3182,
2012-02-03,-0.6622,
2012-02-05,0.6369,
2012-02-06,-0.17170000000000019,
2012-02-07,-0.8668999999999998,
2012-02-08,0.21829999999999983,
2012-02-09,1.2469,
2012-02-10,2.1249,
2012-02-13,2.7049000000000003,
2012-02-14,-0.4377,
2012-02-15,1.5118999999999998,
2012-02-16,0.06820000000000004,
2012-02-17,0.8907,
2012-02-21,-1.4777999999999998,
2012-02-22,-0.8112999999999999,
2012-02-23,1.1159,
2012-02-24,1.1383999999999996,
2012-02-27,-1.0991,
2012-02-28,0.4255,
2012-02-29,1.9668,
2012-03-01,0.46060000000000006,
2012-03-05,0.14100000000000001,
2012-03-06,-0.5968999999999998,
2012-03-07,1.9113,
2012-03-08,1.7013000000000003,
2012-03-09,0.1130000000000001,
2012-03-12,-0.9594000000000003,
2012-03-13,0.7928000000000002,
2012-03-14,0.6555000000000002,
2012-03-15,-1.069,
2012-03-16,1.2992000000000004,
2012-03-17,0.3182,-inf
2012-03-19,-0.8254,
2012-03-20,3.8095000000000003,
2012-03-21,0.5228,
2012-03-22,0.5090000000000001,
2012-03-23,0.19720000000000026,
2012-03-26,1.1736999999999997,
2012-03-28,-0.2186999999999999,
2012-03-29,0.8779,
2012-03-30,-0.6524000000000001,
2012-04-02,3.1094,
2012-04-03,0.8973000000000001,
2012-04-04,0.6385000000000001,
2012-04-05,1.0655999999999999,
2012-04-06,4.642899999999999,
2012-04-09,0.6073999999999999,
2012-04-10,1.6229,
2012-04-11,0.8698,
2012-04-12,0.1775,
2012-04-14,0.7859999999999999,
2012-04-16,1.9596,
2012-04-17,0.9948,-inf
2012-04-19,0.6414,
2012-04-20,-0.11019999999999996,
2012-04-22,0.0,
2012-04-23,2.3406000000000002,
2012-04-24,1.879,-inf
2012-04-25,-0.9654,inf
2012-04-27,0.5880000000000001,
2012-04-30,0.6622999999999999,
2012-05-01,-0.3713,
2012-05-02,0.9120999999999999,
2012-05-03,1.3744,-inf
2012-05-07,0.9372999999999999,
2012-05-08,4.0468,
2012-05-09,-0.9479,
2012-05-10,0.45390000000000014,
2012-05-11,0.49729999999999996,
2012-05-14,3.2641000000000004,
2012-05-15,1.769,
2012-05-16,0.0012999999999999678,
2012-05-17,-0.3700000000000001,
2012-05-18,-0.14029999999999998,
2012-05-20,0.5859,-inf
2012-05-21,1.0721,
2012-05-22,0.7649,
2012-05-23,-0.4054,
2012-05-24,4.0346,
2012-05-27,-0.4019,inf
2012-05-29,1.2323000000000002,
2012-05-30,2.1675999999999993,
2012-05-31,0.0685,
2012-06-01,-0.9224000000000001,
2012-06-02,0.0,
2012-06-03,0.5106,
2012-06-04,1.6224999999999998,
2012-06-05,-0.245,
2012-06-06,1.6623,
2012-06-07,1.3172,
2012-06-08,-0.8294999999999997,
2012-06-09,1.7908,
2012-06-11,-0.9223000000000001,
2012-06-12,1.2787,
2012-06-13,1.5897000000000001,
2012-06-14,1.9434,
2012-06-15,3.0858999999999996,
2012-06-18,2.1279000000000003,-inf
2012-06-19,0.4396,
2012-06-20,0.7707,
2012-06-21,0.8694,
2012-06-22,1.7835,
2012-06-25,1.0771000000000002,
2012-06-26,-0.5425,
2012-06-27,1.0762999999999998,
2012-06-28,-1.0749,
2012-06-29,6.276299999999999,
2012-07-02,0.12930000000000008,
2012-07-03,2.0235999999999996,
2012-07-05,0.8271,
2012-07-06,1.7946,
2012-07-07,0.7964,-inf
2012-07-09,1.3143,-inf
2012-07-10,0.7907999999999998,
2012-07-11,3.0675999999999997,
2012-07-12,-0.7047,
2012-07-13,0.26449999999999985,
2012-07-16,1.2044000000000001,
2012-07-17,2.6774999999999998,
2012-07-18,2.7425999999999995,
2012-07-19,0.4770000000000002,
2012-07-20,-2.2647000000000004,
2012-07-23,-0.0017000000000000348,
2012-07-24,0.8975,
2012-07-25,0.7644000000000001,
2012-07-26,-0.6753,
2012-07-27,1.0121,
2012-07-30,0.6238999999999999,
2012-07-31,-0.10569999999999996,
2012-08-01,2.9673,
2012-08-02,1.4087999999999998,
2012-08-06,0.5073000000000001,
2012-08-07,-0.5797999999999999,
2012-08-08,-3.2991,
2012-08-09,2.3224000000000005,
2012-08-10,1.4316999999999998,
2012-08-13,0.36600000000000005,
2012-08-14,3.4486000000000003,
2012-08-15,0.32489999999999997,
2012-08-16,0.9403999999999997,
2012-08-17,5.2819,
2012-08-20,1.8106,-inf
2012-08-21,1.8509000000000002,
2012-08-22,3.1673000000000004,
2012-08-23,3.2655000000000003,
2012-08-24,1.0589,
2012-08-27,0.11350000000000005,
2012-08-28,1.3756,
2012-08-29,1.3149000000000004,
2012-08-30,-2.2847,
2012-08-31,2.3647000000000005,
2012-09-01,1.9003,-inf
2012-09-02,0.6101000000000001,
2012-09-04,-0.0847,
2012-09-05,0.8834,
2012-09-06,2.069,
2012-09-07,-2.9675,
2012-09-10,0.4767,
2012-09-11,-0.6091999999999999,
2012-09-12,-1.0627,
2012-09-13,-0.40769999999999995,
2012-09-14,-0.04930000000000001,
2012-09-17,0.005300000000000138,
2012-09-18,-0.3123000000000001,
2012-09-19,0.9816999999999998,
2012-09-20,4.932099999999999,
2012-09-21,1.4998000000000002,
2012-09-24,2.4984,
2012-09-25,0.6241000000000001,
2012-09-26,3.2934000000000005,
2012-09-27,3.391400000000001,
2012-09-28,7.948699999999997,
2012-10-01,1.0352999999999999,
2012-10-02,2.4528,
2012-10-03,2.9232,
2012-10-04,7.321199999999999,
2012-10-05,3.9736000000000002,
2012-10-08,0.6453999999999998,
2012-10-09,1.5249000000000001,
2012-10-10,4.7668,
2012-10-11,-0.7789000000000001,
2012-10-12,8.200800000000001,
2012-10-13,2.1709,
2012-10-14,0.5793999999999999,
2012-10-15,5.6741,
2012-10-16,3.8462,
2012-10-17,1.561,
2012-10-18,5.7753,
2012-10-19,4.5377,
2012-10-21,0.4232999999999999,
2012-10-22,-0.18030000000000057,
2012-10-23,-1.0798999999999994,
2012-10-24,4.2388,
2012-10-25,8.969199999999999,
2012-10-26,10.1879,
2012-10-27,-0.1724000000000001,
2012-10-28,-2.8249999999999997,
2012-10-29,0.26750000000000007,
2012-10-30,7.1754999999999995,
2012-10-31,8.101,
2012-11-01,-0.9487999999999999,
2012-11-02,0.055699999999999916,
2012-11-03,0.768,-inf
2012-11-04,-1.0691000000000002,
2012-11-05,6.577400000000003,
2012-11-06,2.593300000000001,
2012-11-07,1.8538999999999999,
2012-11-08,3.9734000000000003,
2012-11-09,2.4372,
2012-11-10,3.4951,
2012-11-11,0.3196,
2012-11-12,-0.03489999999999993,
2012-11-13,2.6626,
2012-11-14,7.4982000000000015,
2012-11-15,10.089600000000003,
2012-11-16,2.3601,
2012-11-19,4.558300000000001,
2012-11-20,7.720700000000001,
2012-11-21,5.8995999999999995,
2012-11-25,-1.3077999999999999,
2012-11-26,-0.6835999999999998,
2012-11-27,3.4506999999999994,
2012-11-28,4.1606,-inf
2012-11-29,6.887200000000002,
2012-11-30,10.6662,
2012-12-03,5.324900000000001,
2012-12-04,9.2039,
2012-12-05,7.245500000000001,
2012-12-06,14.1804,
2012-12-07,3.6139,
2012-12-10,3.7336000000000005,
2012-12-11,3.751000000000001,
2012-12-12,4.6185,
2012-12-13,2.8594000000000004,
2012-12-14,-0.6808,inf
2012-12-15,-0.026499999999999968,
2012-12-17,-0.5698,
2012-12-18,2.2898,
2012-12-19,2.6891,
2012-12-20,8.2597,
2012-12-21,8.2543,
2012-12-23,2.5042,-inf
2012-12-24,0.7955,-inf
2012-12-26,1.9526,
2012-12-27,0.6955999999999999,
2012-12-28,12.666100000000002,
2013-01-01,0.13039999999999996,
2013-01-02,3.5041999999999995,
2013-01-03,9.8493,
2013-01-04,7.0492,
2013-01-07,4.447900000000001,
2013-01-08,15.5014,
2013-01-09,9.534200000000002,
2013-01-10,19.761300000000006,
2013-01-11,7.864100000000001,
2013-01-14,4.2715,
2013-01-15,3.5162,
2013-01-16,0.11420000000000008,
2013-01-17,1.2047,
2013-01-18,3.4747999999999997,-inf
2013-01-21,3.8527000000000005,
2013-01-22,14.9823,
2013-01-23,0.9783,-inf
2013-01-24,9.643,
2013-01-25,4.594899999999999,
2013-01-28,0.8971,
2013-01-29,8.0129,
2013-01-30,8.7031,
2013-01-31,8.394400000000001,
2013-02-01,4.627,
2013-02-04,9.648400000000002,
2013-02-05,17.5672,
2013-02-06,20.303300000000004,
2013-02-07,16.7031,
2013-02-08,7.8397000000000014,
2013-02-09,0.8685,
2013-02-10,0.8955,-inf
2013-02-11,4.1217999999999995,
2013-02-12,12.557800000000002,
2013-02-13,22.408000000000005,
2013-02-14,15.9619,
2013-02-15,7.205800000000002,
2013-02-16,1.0653000000000001,-inf
2013-02-17,0.4404,-inf
2013-02-18,0.0,
2013-02-19,8.5534,
2013-02-20,17.387700000000002,
2013-02-21,11.939600000000006,
2013-02-22,4.0875,
2013-02-23,5.083599999999999,
2013-02-24,3.2553,
2013-02-25,11.664800000000005,
2013-02-26,12.078600000000002,
