Date,Price,Change
1999-12-03,112.19,
1999-12-06,114.56,0.021124877440056977
1999-12-07,116.56,0.01745810055865915
1999-12-08,116.25,-0.0026595744680851796
1999-12-09,111.0,-0.04516129032258065
1999-12-10,105.31,-0.05126126126126129
1999-12-13,102.39,-0.02772766119077008
1999-12-14,98.37,-0.03926164664518017
1999-12-15,93.25,-0.052048388736403384
1999-12-16,98.0,0.05093833780160861
1999-12-17,100.87,0.02928571428571436
1999-12-20,99.56,-0.012987012987012991
1999-12-21,98.19,-0.013760546404178453
1999-12-22,102.87,0.0476626947754355
1999-12-23,101.81,-0.010304267522115329
1999-12-27,104.37,0.025144877713387803
1999-12-28,99.12,-0.05030181086519114
1999-12-29,96.81,-0.02330508474576276
1999-12-30,102.19,0.05557277140791239
1999-12-31,100.94,-0.012232116645464308
2000-01-03,104.87,0.0389340202100259
2000-01-04,108.25,0.032230380471059306
2000-01-05,103.75,-0.04157043879907618
2000-01-06,106.12,0.022843373493975916
2000-01-07,96.5,-0.09065209197135327
2000-01-10,102.0,0.05699481865284972
2000-01-11,95.94,-0.059411764705882386
2000-01-12,95.0,-0.009797790285595132
2000-01-13,94.48,-0.005473684210526297
2000-01-14,100.0,0.058425063505503694
2000-01-18,101.0,0.010000000000000009
2000-01-19,105.62,0.04574257425742578
2000-01-20,115.5,0.09354288960424162
2000-01-21,114.25,-0.010822510822510845
2000-01-24,108.44,-0.05085339168490155
2000-01-25,105.0,-0.03172261158244183
2000-01-26,110.0,0.04761904761904767
2000-01-27,108.81,-0.010818181818181838
2000-01-28,108.19,-0.005698005698005715
2000-01-31,101.0,-0.06645715870228297
2000-02-01,104.0,0.02970297029702973
2000-02-02,100.75,-0.03125
2000-02-03,100.31,-0.004367245657568186
2000-02-04,103.94,0.03618781776492863
2000-02-07,108.0,0.03906099672888197
2000-02-08,114.0,0.05555555555555558
2000-02-09,114.12,0.001052631578947416
2000-02-10,112.87,-0.010953382404486511
2000-02-11,113.62,0.006644812616284135
2000-02-14,109.31,-0.037933462418588304
2000-02-15,115.25,0.05434086542859751
2000-02-16,117.75,0.021691973969631295
2000-02-17,115.19,-0.021740976645435284
2000-02-18,114.62,-0.0049483462106084675
2000-02-22,110.12,-0.039260164020240795
2000-02-23,113.23,0.028241917907737113
2000-02-24,117.31,0.036032853484059046
2000-02-25,114.81,-0.021311056175944088
2000-02-28,110.12,-0.040850100165490844
2000-02-29,113.56,0.031238648746821696
2000-03-01,118.56,0.04402958788305744
2000-03-02,127.0,0.071187584345479
2000-03-03,124.87,-0.016771653543307008
2000-03-06,126.0,0.009049411387843431
2000-03-07,126.44,0.0034920634920634352
2000-03-08,122.87,-0.028234735843087555
2000-03-09,120.87,-0.01627736632212906
2000-03-10,121.69,0.00678414825845941
2000-03-13,122.12,0.0035335689045936647
2000-03-14,121.22,-0.007369800196527998
2000-03-15,115.62,-0.04619699719518222
2000-03-16,117.31,0.014616848296142626
2000-03-17,120.12,0.02395362714176108
2000-03-20,123.5,0.02813852813852802
2000-03-21,122.56,-0.007611336032388616
2000-03-22,132.78,0.08338772845952991
2000-03-23,142.0,0.0694381683988552
2000-03-24,142.44,0.003098591549295815
2000-03-27,137.63,-0.033768604324627916
2000-03-28,137.25,-0.002761025939112094
2000-03-29,139.38,0.01551912568306002
2000-03-30,133.56,-0.04175634954799823
2000-03-31,127.44,-0.04582210242587603
2000-04-03,135.5,0.06324544883866912
2000-04-04,132.63,-0.02118081180811815
2000-04-05,126.47,-0.046444997361079654
2000-04-06,130.63,0.03289317624733146
2000-04-07,127.25,-0.025874607670519745
2000-04-10,131.69,0.03489194499017678
2000-04-11,123.5,-0.06219151036525172
2000-04-12,119.0,-0.036437246963562764
2000-04-13,111.5,-0.06302521008403361
2000-04-14,109.31,-0.019641255605381103
2000-04-17,109.5,0.0017381758302077444
2000-04-18,123.5,0.1278538812785388
2000-04-19,126.19,0.021781376518218654
2000-04-20,123.69,-0.019811395514700014
2000-04-24,115.0,-0.0702562858759802
2000-04-25,122.12,0.061913043478260876
2000-04-26,126.62,0.0368490009826401
2000-04-27,117.19,-0.0744748065076608
2000-04-28,127.12,0.08473419233723023
2000-05-01,124.87,-0.017699811202013804
2000-05-02,123.25,-0.012973492432129419
2000-05-03,118.94,-0.03496957403651113
2000-05-04,115.12,-0.032117033798553796
2000-05-05,110.81,-0.03743919388464212
2000-05-08,112.09,0.011551304033931897
2000-05-09,110.31,-0.0158800963511464
2000-05-10,104.06,-0.056658507841537475
2000-05-11,101.37,-0.025850470882183285
2000-05-12,106.0,0.04567426260234786
2000-05-15,108.06,0.01943396226415106
2000-05-16,104.52,-0.03275957801221552
2000-05-17,103.62,-0.008610792192881633
2000-05-18,103.0,-0.005983400887859536
2000-05-19,99.25,-0.036407766990291246
2000-05-22,93.75,-0.055415617128463435
2000-05-23,90.5,-0.03466666666666662
2000-05-24,86.19,-0.04762430939226525
2000-05-25,88.5,0.026801253045596996
2000-05-26,88.0,-0.005649717514124242
2000-05-30,87.62,-0.004318181818181777
2000-05-31,86.87,-0.008559689568591655
2000-06-01,81.75,-0.05893864395073101
2000-06-02,93.75,0.14678899082568808
2000-06-05,93.31,-0.004693333333333327
2000-06-06,91.97,-0.014360733040402973
2000-06-07,93.62,0.01794063281504843
2000-06-08,97.62,0.042725913266395965
2000-06-09,96.75,-0.008912108174554456
2000-06-12,96.37,-0.003927648578811338
2000-06-13,91.19,-0.05375116737573937
2000-06-14,94.69,0.03838140146945945
2000-06-15,91.25,-0.03632907381983308
2000-06-16,93.5,0.024657534246575352
