Date,author,content,number_of_likes,number_of_shares
2011-05-23 04:56:00,taylorswift13,Yay! Yay! Three Billboard awards! Yay!!,1909,5995
2011-05-24 20:33:00,taylorswift13,"I'll be live with @realsway today at 7:53 pm ET on MTV to premiere ""The Story of Us"" video! Tweet ?'s with #askTaylor and I'll answer them:)",729,2119
2011-05-27 03:51:00,taylorswift13,"My band and I were all sitting there watching in wonderment as @needtobreathe sound checked today.  Omaha, we play for you tomorrow!",670,1521
2011-05-27 03:58:00,taylorswift13,PS I'm STILL laughing from seeing Bridesmaids two days ago.,1485,3491
2011-05-28 04:42:00,taylorswift13,Woah Omaha. That first show was SO much fun and I can't wait to see you again tomorrow!!,956,2216
2011-06-05 03:55:00,taylorswift13,"Friends marathon after a long day of rehearsals. This time tomorrow night, the 'Mean' video will be out!!",1277,3525
2011-06-05 16:48:00,taylorswift13,"Excited about tonight's tv line up! Gonna watch the debut of the Mean video at 10pm on
CMT. Then @iamstevenT and @thecivilwars are on Leno!",570,1694
2011-06-08 16:58:00,taylorswift13,"Philadelphia, we just flew over the stadium we're playing in tonight and we were all like..""Wow. That's a really big stadium.""",1295,2803
2011-06-09 17:56:00,taylorswift13,"Thanks to you guys and the CMA voters, we got 5 CMA NOMINATIONS THIS MORNING!!! I am flipping out!!!",969,3230
2011-06-10 04:10:00,taylorswift13,"I never met Steve Jobs, but I always wanted to. What a tragic loss. I can't believe it. About to call my family and tell them I love them.",1846,6254
2011-06-11 04:33:00,taylorswift13,Stage left. http://t.co/50dWIIJv,770,1312
2011-06-11 04:34:00,taylorswift13,Stage right. http://t.co/HFNKKIwJ,795,1434
2011-06-11 04:37:00,taylorswift13,"Our last stadium show of the tour- Houston, Texas!! Singing 'Just A Dream' with Nelly was a serious lifetime highlight. Fantastic night.",1117,2793
2011-06-13 07:42:00,taylorswift13,"Just played the last night of CMA Music Fest (um,you guys were amazing!!). Then I went home and baked until 2:41 AM.",1151,2385
2011-06-18 19:38:00,taylorswift13,"Can't wait to play another stadium tonight- Heinz Field in Pittsburgh, PA! Here's a pic from sound check. http://t.co/ScdC0ol",929,1983
2011-06-19 04:49:00,taylorswift13,"Pittsburgh, you made us feel like we have 52,000 new friends. I'm so happy and proud that my home state provided such an AMAZING crowd!!",1217,2811
2011-06-21 20:31:00,taylorswift13,Someone just told me this show in Buffalo is our 13th show on the N American tour- check out my dressing room #! http://t.co/6IV22Jx,957,2239
2011-06-25 20:22:00,taylorswift13,In my dressing room getting ready to play Gillette Stadium tonight. I can't for the life of me believe that we're playing here tomorrow too.,1361,2669
2011-06-26 03:07:00,taylorswift13,"Tonight I got to dance in the pouring rain with 52,000 people. I will NEVER forget it.",6254,9186
2011-06-26 18:03:00,taylorswift13,Heading over to get ready to play night 2!!,665,1212
2011-06-26 18:04:00,taylorswift13,http://t.co/gwDzrVd,862,1298
2011-06-26 19:33:00,taylorswift13,"Writing letters, giving haircuts, signing cd covers. Backstage activities.",1377,2989
2011-06-27 00:54:00,taylorswift13,Woah.  http://t.co/LR4GpXn,1360,2659
2011-06-27 04:25:00,taylorswift13,The t-party hang after the show always provides for some very special gifts.  http://t.co/zwS1CbA,1052,2127
2011-06-30 19:35:00,taylorswift13,A Midsummer Night's Blog: http://t.co/LUjcuVu,937,1617
2011-06-30 23:58:00,taylorswift13,"@caitlinbird is pacing back and forth in the dressing room, deeply distressed that she left her coloring book and crayons at home.Seriously.",842,1545
2011-07-05 01:34:00,taylorswift13,"The 'mean' music video premieres on CMT in a half hour here in Nashville! 10pm eastern, 9pm central!",843,2955
