Date,author,content,number_of_likes,number_of_shares
2010-07-21,jtimberlake,Happy birthday @justxlisa52 ! What are you doing to celebrate?,24,26
2010-07-21,jtimberlake,"Well @Lydsbx if I write 1 tweet a day, I'd only be 7,135 years old before every follower gets their own message. But here's to trying!",36,50
2010-07-21,jtimberlake,Diapers on aisle 9! @misslisa854,36,46
2010-07-26,jtimberlake,"http://901.com, now . . . right now.",30,136
2010-07-26,jtimberlake,Good evening.,27,110
2010-07-26,jtimberlake,Question of the day: what do you do on #dayslikethis?,22,110
2010-07-26,jtimberlake,"Hey @Wekatrineabatti it's not nice to wish anything bad on others. RT:Hey @jtimberlake, I want your 901 Tequila! #RIPJoseCuervo",17,34
2010-07-26,jtimberlake,Can anyone on Twitter keep a secret?,115,364
2010-07-26,jtimberlake,"Okay then @Cspitz just between us, someone you might know, just made their directorial debut at http://901.com .",27,83
2010-07-27,jtimberlake,@mattmorris takes on The Beatles: http://bit.ly/d8ozPi,12,44
2010-08-06,jtimberlake,"To jump start your day, a lil help from @esmeeworld and Stevie Wonder: http://bit.ly/9JguRw",21,82
2010-08-16,jtimberlake,Check out this film. You'll love it: http://bit.ly/easya,61,189
2010-08-20,jtimberlake,"It's Vegas time, baby! Justin Timberlake & Friends Benefit Concert Oct 23rd!! Lineup & Tickets (on sale TOMORROW): http://bit.ly/aM65Gv",50,189
2010-08-20,jtimberlake,"It's that time of year again...
Tickets for my charity concert in Vegas on 10/23 are on sale now. It's a sick lineup! Hope to see you there!",37,194
2010-08-25,jtimberlake,Congrats to the @stippleit team. RT: Stipple is now live for public use. http://nyti.ms/bZxWch Thanks @nytimesbits!,25,51
2010-08-26,jtimberlake,I had an amazing sweet wine last night from a family owned winery called Casa Barranca. Have you tried it? I love reds…any suggestions?,70,91
2010-08-26,jtimberlake,"Sounds good, I'll check it out. RT @drbelotto I really like a pino noir from the Willamette Valley, Chehalem - http://is.gd/eFzXO",33,70
2010-08-31,jtimberlake,Check out the new site for The Social Network! http://bit.ly/a6BAIy,44,185
2010-09-07,jtimberlake,"since the weekend's almost here, a @sony trick to watching the #worldcup up close and personal: http://bit.ly/9AkxML",14,40
2010-09-07,jtimberlake,"Good question....@esmeeworld, thoughts? ha ha RT @ivotriepels: who do you think will win #worldcup ? #netherlands?",16,63
2010-09-07,jtimberlake,"if there's a team to root for, it's @Tennmanrecords, no? (phew) :) RT @esmeeworld the Netherlands Justin are you supporting our team? ;-)",20,48
2010-09-09,jtimberlake,RT @FNOnyc @traceayala & @JTimberlake to celebrate #FNO at Nordstrom Santa Monica Place & @WilliamRast in Century City! http://bit.ly/b7VZhO,16,80
2010-09-13,jtimberlake,http://ping.fm/p/6As5m - Backstage... About to bring Drake out!!!,90,295
2010-09-13,jtimberlake,http://ping.fm/p/oF9Yc - Taylor... Killing it.,113,374
2010-09-13,jtimberlake,http://ping.fm/p/YkQXI - Drake... The future.,97,436
2010-09-14,jtimberlake,Stoked for the #FNO special tonight on CBS. Who’s going to check it out? http://bit.ly/aH0Wj8,27,113
2010-09-17,jtimberlake,Wanna see a movie that’s great??? Go see Easy A tonight!!! E. Stone rocks in it. ‘Nuff said.,55,304
2010-09-17,jtimberlake,Sibling Rivalry! Peyton vs. Eli… Who are you taking???,43,149
2010-09-21,jtimberlake,http://ping.fm/p/nY7dC - Crowd at Leno. Having a blast. Chris Bosh is the best!!!,43,89
2010-09-24,jtimberlake,#FF @901silver @jtshrinersopen,22,44
2010-09-24,jtimberlake,Backstage at NFL Countdown. Such a fan. Geekin' out! http://yfrog.com/5lgjdbj,153,241
2010-09-29,jtimberlake,Anybody want a Hip-Hop History Lesson? Check out 2 goofballs on @jimmyfallon tonight.,60,164
2010-10-05,jtimberlake,@freesol's got a brand-new video: http://bit.ly/9sYd4F,3,26
2010-10-05,jtimberlake,"And for a good laugh, Will Ferrell-style: http://bit.ly/aP0pZo",46,76
2010-10-08,jtimberlake,Stoked to support #FNO on the west coast tonight! Anybody coming by @nordstrom Santa Monica and @williamrast Century City?? Don’t be shy!,26,101
2010-10-14,jtimberlake,Do you wanna come to my benefit concert in Vegas next weekend? @drinkneuro is giving away 2 free tix. Enter now… http://bit.ly/d0Pfd7,34,119
2010-10-15,jtimberlake,The NBA regular season is starting soon…who thinks the Lakers can get another three in a row?!?!,84,275
2010-10-15,jtimberlake,Excited for my show that I'm hosting next weekend in Vegas!!! Want a free trip to see it?! Check out @drinkneuro. http://bit.ly/9geD9O,42,139
2010-10-19,jtimberlake,Help me support Shriners Hospitals for Children. Check out my video on the Shriners tab on my Facebook page!!! http://bit.ly/djmsNs,56,434
2010-10-20,jtimberlake,Come on! Let's help the kids at Shriners! Go to my facebook page or click here! http://bit.ly/bIl5Ph,35,186
2010-10-22,jtimberlake,20 hours till showtime...,54,154
2010-10-22,jtimberlake,Nine hours till showtime...,55,261
2010-10-22,jtimberlake,‎​4 hours till the party begins! Thanks again @drinkneuro! Its gonna be a good one!!,37,84
2010-10-22,jtimberlake,"3 hours to go! Thanks to everyone who has helped me support the kids at Shriners. If you haven't, its not too late!!",48,131
2010-10-22,jtimberlake,"Less than 2 hours to go! For those that asked, to help support the kids at Shriners watch my video on my website and click the link below!",38,102
2010-10-22,jtimberlake,Showtime baby!!!,111,365
2010-10-25,jtimberlake,Congrats to Jonathan Byrd for making PGA tour history yesterday at my tournament...he won in a playoff on a hole-in-one!!!,46,140
2010-10-29,jtimberlake,Happy Halloween everybody! Have a fun night!,145,735
2010-11-05,jtimberlake,"Surprises are always fun, but they're even better with golf clubs: http://bit.ly/cXktJQ",31,78
2010-11-05,jtimberlake,#nowplaying - the most fun you can possibly have with Microsoft Office: http://bit.ly/aEusUt  #laughatem,73,261
2010-11-09,jtimberlake,http://ping.fm/p/RKjZx - In the green room at #FNO with @traceayala.,37,82
2010-11-11,jtimberlake,My deepest gratitude to the men & women who provide us with the protection & freedoms we have. Everyone please honor our Veterans today.,154,1442
2010-11-17,jtimberlake,Check out Matt Morris' new holiday track! http://bit.ly/bewL7b,55,136
2010-12-07,jtimberlake,"#musicmonday Congrats again to @mattmorris on his album dropping tomorrow.  The first video is out, have a listen: http://bit.ly/aKiHEB",21,68
2010-12-07,jtimberlake,PS congrats RT @TennmanRecords: Happy Birthday @MizzBren !!,16,45
2010-12-17,jtimberlake,"Wanna laugh your ""baskets"" off??? Go see this movie this weekend!!! http://bit.ly/ef9cra",67,201
2010-12-17,jtimberlake,Go get a copy of LAST TRAIN TO PARIS...Fire!,216,544
2011-01-07,jtimberlake,"Thanks to everyone who came out to @bbqnyc...amazing night. Now, who's ready to go again @ Irving Plaza?! #national901day",44,136
2011-01-07,jtimberlake,Getting ready for tonight at Irving Plaza with @freesol...you don't want to miss this. #national901day,34,102
2011-02-09,jtimberlake,It's 9:01pm!!! #national901day,71,332
2011-02-09,jtimberlake,Another amazing night NYC! Thanks for coming out for #national901day. Here's a little more @freesol for ya... http://t.co/evmJ4AV,56,143
2011-02-10,jtimberlake,Color Me Badd just killed it! #jtshriners http://t.co/b1p0sEOv,439,324
2011-02-10,jtimberlake,The Sugarhill Gang #jtshriners http://t.co/jRXBKEuH,255,142
2011-02-10,jtimberlake,Thank you to everyone who came out!! #jtshriners,60,170
2011-03-03,jtimberlake,Jessica Biel donating her 29th for @charitywater. Let's build a clean water well today! http://www.mycharitywater.org/jessicabiel,120,407
2011-03-04,jtimberlake,Did you see Justin got nominated for a MTV Movie Award?!?! http://bit.ly/lRCefX,58,251
2011-03-23,jtimberlake,Today is #WORLDWATERDAY - Follow @SOTSK to get informed. Every human being deserves clean drinking water.,45,465
2011-03-23,jtimberlake,It makes up over 70% of who we are. Less than 1% of it is drinkable worldwide. Follow @SOTSK to get educated #worldwaterday,64,505
2011-03-23,jtimberlake,"Follow @SOTSK , get educated and support all of the people on the ground helping others get clean water #worldwaterday",74,308
2011-04-05,jtimberlake,"Check out the @OKKenna video ""CHAINS,"" its important for the future of ur life that u do it now - JT - CLICK HERE http://ow.ly/4KxaI",80,200
2011-04-07,jtimberlake,Happy 4th everyone!,155,636
2011-04-08,jtimberlake,Have you submitted your photo yet? http://t.co/8re4n3Q2 #InTime #PhotoContest,62,130
2011-04-08,jtimberlake,"Help make a difference...support the East Harlem Tutorial Program. Click here, vote now! http://t.co/lPH6r774 @EHTPnyc",51,197
2011-04-13,jtimberlake,On set directing @freesol first video shoot... http://on.fb.me/ibYTek,84,194
2011-05-20,jtimberlake,Did you see Justin host the season finale of SNL last night? Check out the highlights http://bit.ly/lQ1HnE,181,411
2011-05-24,jtimberlake,"Do you want Justin, Gaga and Andy Samberg’s 3-Way (The Golden Rule)?!?! http://bit.ly/kmgsBl",178,494
2011-05-25,jtimberlake,The @BookofMormonBWY. Pure Genius!!! I have to find my face now... I laughed it off.,59,138
2011-05-25,jtimberlake,Kicking off a Facebook contest with @CallawayGolf today. Click here to enter http://on.fb.me/9LGpeE #golfstory,44,116
2011-05-27,jtimberlake,"Everyone please THANK veterans, active personnel & their families this wknd for sacrifices they have made for us. I'm very thankful!",125,1438
2011-05-27,jtimberlake,What a Memorial Day weekend! The William Rast car just won the Indy 500!!!!,69,396
2011-05-27,jtimberlake,"Congrats to Dan Wheldon, the WR racing team and everyone else who put in the hard work for this victory! Unreal!",101,238
2011-06-17,jtimberlake,"Happy Father's Day to all of the Dads, Daddies, Pops, Papas, etc!",199,1064
2011-06-24,jtimberlake,Bad Teacher is out! Who's going to see it tonight???,224,933
2011-07-07,jtimberlake,Do you love sports this much? Step up your game. Here’s how… http://t.co/n7zimjU #JTCapCup,73,194
2011-07-08,jtimberlake,“‘cause that’s how science works…” Hahaha LMAO http://t.co/XccWqxj,441,1811
2011-07-14,jtimberlake,Backstage at the #espys with @aaronrodgers12 http://twitpic.com/5ptga1,129,314
2011-07-15,jtimberlake,http://t.co/4FKR8q2 #USMC,215,295
2011-07-15,jtimberlake,"Team USA, you have already made us proud, but one more win would be EPIC! I can't wait to watch tomorrow.",97,964
2011-07-18,jtimberlake,"With @FWB opening, I wanna hear from you! 24 hours from now, tweet your questions with #askjt and I'll answer the best live. Bring it!",92,283
2011-07-19,jtimberlake,"Excited to see your questions. The Q&A starts at 6:30pm ET, but start sending 'em with #askjt...now! I'll answer some early ones first!",64,222
2011-07-19,jtimberlake,Let's do this!!! #askjt,29,102
2011-07-19,jtimberlake,In the middle of one of my concerts. #askjt,22,56
2011-07-19,jtimberlake,I do think they could win 1 more and I do think he'll go down as 1 of the greatest guards of all time! #askjt,15,37
2011-07-19,jtimberlake,has. I think every guy can relate. #askjt,12,28
2011-07-19,jtimberlake,In the airport with Richard Jenkins who plays my dad becuase 1) he is an amazing actor and 2) its my favorite relationship my character...,19,38
2011-07-19,jtimberlake,The kind you get to eat. #askjt,20,41
2011-07-19,jtimberlake,"They are both amazing genres to work in, but if I have to choose there is nothing like making people laugh. #askjt",32,56
2011-07-19,jtimberlake,The Shining #askjt,28,62
2011-07-19,jtimberlake,Hilarious! Humble! Short! #askjt,24,74
2011-07-19,jtimberlake,"Absolutely! Not only is she a great actor, but she's fun to be around! #askjt",25,45
2011-07-19,jtimberlake,"I know it’s terrible, but I've never seen one Harry Potter! I'm going to watch them all so I can see the last one in the theatre. #askjt",81,339
2011-07-19,jtimberlake,This is great! Keep 'em coming!!! #askjt,22,37
2011-07-19,jtimberlake,Egypt #askjt,41,97
2011-07-19,jtimberlake,"People's response to @FWB, time with family and hitting the links. #askjt",14,31
2011-07-19,jtimberlake,Don't eat yellow snow. #askjt,122,338
2011-07-19,jtimberlake,"My grandpa also told me, ""don't lose your head over a little piece of tail!"" #askjt",163,655
2011-07-19,jtimberlake,"U talk about the scene the same way you talk about any other scene! Whether it's funny or dramatic, you want to play what is real. #askjt",27,46
2011-07-19,jtimberlake,"A driver, a tee and a golf ball so I could hit the longest drive ever! #askjt",26,36
2011-07-19,jtimberlake,"My hole-in-one at Lakeside Golf Club. 182 yds, wind in your face, 5 iron, great shot, it bounced one time and into the hole! #askjt",31,58
2011-07-19,jtimberlake,"I'd like to think I'm not, but I probably am! #askjt",38,86
2011-07-19,jtimberlake,Take the opportunity right now to learn and try everything you can! You only get one shot at a first impression. #askjt,167,498
2011-07-19,jtimberlake,"Justin ""doesn't stand a chance in hell against all those UFC guys"" Timberlake... Too long? #askjt",68,118
2011-07-19,jtimberlake,"Stopped drinking beer, stopped eating cupcakes and I ran to work every day uphill both ways. #askjt",72,115
2011-07-19,jtimberlake,Work out and hit the gym...break a sweat...get outside!! #askjt,51,108
2011-07-19,jtimberlake,That is tough…we shot #FWB in NYC. I got to see some of the best parts of the city and NYC is the best city in the world! #askjt,48,124
2011-07-19,jtimberlake,"In the current situation, 100%  #askjt",47,61
2011-07-19,jtimberlake,"Not sure, but I come to Memphis every chance I get. It’s my favorite place on the planet. #askjt",60,160
2011-07-19,jtimberlake,"Karaoke is Desperado by the Eagles. If you get @TraceAyala drunk enough we'll sing. In the car, Radiohead so I don't get road rage. #askjt",52,67
2011-07-19,jtimberlake,Looney Tunes #askjt,49,90
2011-07-19,jtimberlake,Flying would be cool #askjt,37,98
2011-07-19,jtimberlake,My dogs #askjt,41,71
2011-07-19,jtimberlake,Depends who I'm playing...just kidd'n. It's a 6. #askjt,25,40
2011-07-19,jtimberlake,"Alright, time for three more... #askjt",24,41
2011-07-19,jtimberlake,My grandma's kitchen!! #askjt,33,58
2011-07-19,jtimberlake,"I surfed in Hawaii for a month and only showered twice!!! I'm not gonna lie, I smelled!! #askjt",105,282
2011-07-19,jtimberlake,My dogs They have the easiest life ever!!! #askjt,74,158
2011-07-19,jtimberlake,"Hey guys, gotta take off. I wonder if they'll let me fly the plane. See @FWB or you aren't my friend anymore...",105,233
2011-07-19,jtimberlake,We'll do this again! #askjt http://t.co/O1ZZhnd,2380,1414
2011-07-22,jtimberlake,"Thank u for supporting @FWB. I'm so proud of it! After u see it, let me hear from u. I'll retweet my favorites! #FWB http://t.co/yBwMzdD",93,249
2011-07-22,jtimberlake,Great comparison RT @m3ganirwin @jtimberlake I loved @FWB....havent laughed that hard since Easy A :),52,81
2011-07-22,jtimberlake,Love u too RT @_goloww OhMyyGoshh @jtimberlake! @fwb Was amazinnggggg&lt;3 I couldnt keep my eyes off the screen!! ;D I love you & #MilaKunis,44,95
2011-07-22,jtimberlake,"Thx, it means a lot RT @xKathryn_Reneex @FWB was freaking AWESOME! I have to say, it's one of the funniest movies I've seen in a long time!",52,94
