Date,author,content,number_of_likes,number_of_shares,sentiment_score,heuristic_score
2016-02-08,cnnbrk,"Attorneys for Dylann Roof, charged in Charleston church massacre, file legal challenge to federal death penalty. 
https://t.co/EFISNWa10Q",274,270,-0.7845,-0.7845
2016-02-08,cnnbrk,Ex-FBI employee with top secret clearance faces 10 years in prison after pleading guilty to being an agent of China. https://t.co/qq7n7Vyn0Q,632,637,-0.6486,-0.6486
2016-02-08,cnnbrk,"Maryland AG appeals new trial granted to Adnan Syed, who was subject of “Serial” podcast. https://t.co/5767jbgkUD https://t.co/kDPFxcwR59",552,359,0.25,0.25
2016-02-08,cnnbrk,"Rio will deploy about 14,000 security officers for Olympics, 1/3 more than planned. https://t.co/TbKgS4Dglm https://t.co/bBi0MI5FU1",685,430,0.34,0.34
2016-02-08,cnnbrk,"At least 30 people, including children and 18 women, died in shelling in Aleppo, Syria, monitoring group says. https://t.co/X7Ypn6xW8Q",237,404,-0.5574,-0.5574
2016-02-08,cnnbrk,Family members of black man killed by Chicago police last week file federal civil rights suit against officers. https://t.co/MF51FA9J2m,238,184,-0.6705,-0.6705
2016-02-08,cnnbrk,"Police in community near Baltimore shoot and kill woman who aimed shotgun at them, officials say. Boy, 5, injured. 
https://t.co/sTqVeh1kYp",675,865,-0.8689,-0.8689
2016-02-08,cnnbrk,China vows to prosecute “trespassers” in its claim in the South China Sea. https://t.co/Cql3qWy9qr https://t.co/zLf91n51rT,320,255,-0.4019,-0.4019
2016-02-08,cnnbrk,Pope Francis creates a commission to study the eventual possibility of female deacons. https://t.co/TPn3kKX3oS https://t.co/0H4DvoAB8O,1529,618,0.2732,0.2732
2016-02-08,cnnbrk,"After veteran gifted @realDonaldTrump with Purple Heart, Trump said he ""always wanted"" one https://t.co/4m9GUARQg1 https://t.co/lRD4B0nKlz",565,357,0.0,0.0
2016-02-09,cnnbrk,State Dept. to produce records of Clinton's meetings as secretary of state in October instead of after Election Day https://t.co/vWphDPVt89,713,324,0.0,0.0
2016-02-09,cnnbrk,"49ers QB Colin Kaepernick continued his stance of not standing during national anthem, before exhibition game. https://t.co/V8TTFzRzTu",970,318,0.0,0.0
2016-02-09,cnnbrk,"At least 4 people were killed in attack on Christian neighborhood in Peshawar, Pakistan, officials say. https://t.co/m3Ddd9BDCi",217,319,-0.8225,-0.8225
2016-02-09,cnnbrk,"Hurricane Hermine made landfall in Florida's Big Bend area early Friday, the National Hurricane Center said. https://t.co/qAlN2ITDHE",335,330,0.0,0.0
2016-02-09,cnnbrk,Samsung is recalling the Galaxy Note 7 smartphone worldwide after reports of battery fires. https://t.co/vrrvKsKMSn https://t.co/bXrVlhGvSm,551,958,0.0,0.0
2016-02-09,cnnbrk,"After a record high in 2015, the number of shark attacks is down this year, officials say. https://t.co/7e9cnpd05w https://t.co/dg9dsKRyAM",660,257,-0.3818,-0.3818
