,pub_date,headline
0,2016-09-01T04:00:00+0000,In Watches: Minutes of Steel
1,2016-09-01T03:20:00Z,Americans and Their Flag
2,2016-09-01T04:00:00+0000,Mugged With a Blow Dryer
3,2016-09-01T04:00:00+0000,Pop Warner Concussions Suit
4,2016-09-01T22:51:49+0000,"This Week’s Movies | Sept. 02, 2016"
5,2016-09-01T04:00:00+0000,Second Amended Complaint
6,2016-09-01T22:20:42+0000,Why Did Peña Nieto Invite Trump to Mexico?
7,2016-09-01T04:00:00+0000,"Georgetown University, Donald Trump, SpaceX: Your Thursday Evening Briefing"
8,2016-09-01T04:00:00+0000,Your Evening Briefing
9,2016-09-01T04:00:00+0000,Can You Name These Broadway Theaters?
10,2016-09-01T20:41:52+0000,"Experimental Arts on Fire Island, and Music in the Hamptons"
11,2016-09-01T20:20:14+0000,Presto! Pulp and Poetry: ‘Chandu the Magician’ and ‘Stranger on the Third Floor’
12,2016-09-01T20:09:30+0000,Here’s Hollywood’s Newest Foreign Legion
13,2016-09-01T04:00:00+0000,"Crying Wolf, Then Confronting Trump"
14,2016-09-01T20:01:40Z,Getty Images Announces Grant Winners for 2016
15,2016-09-01T04:00:00+0000,Getty Images Announces Grant Winners for 2016
16,2016-09-01T19:57:33+0000,Thousands March in Venezuela to Demand President’s Ouster
17,2016-09-01T19:31:08+0000,"Popcorn, Booing and Cheering: This Is Summer Mummers"
18,2016-09-01T04:00:00+0000,Map of Tropical Storm Hermine’s Path
19,2016-09-01T04:00:00+0000,Five Interesting New Stores (and Retail Happenings) in New York 
20,2016-09-01T18:25:02+0000,"Kurds Fear the U.S. Will Again Betray Them, in Syria"
21,2016-09-01T18:22:47+0000,Latino Protesters Say ‘No’ to Trump
22,2016-09-01T18:09:55+0000,Cracking a Glass Ceiling With the Maestro’s Baton
23,2016-09-01T18:06:33+0000,An Airport Survival Guide
24,2016-09-01T04:00:00+0000,An Icon of Modernist Architecture — Covered in Polka Dots
25,2016-09-01T04:00:00+0000,"Yayoi Kusama’s “Dots Obsession — Alive, Seeking for Eternal Hope”"
26,2016-09-01T18:02:02Z,Donald Trump’s Brexit Moment
27,2016-09-01T18:01:45+0000,She Didn’t Get a Promotion. Should She Stay or Quit?
28,2016-09-01T04:00:00+0000,"The Best TV Shows and Movies New to Netflix, Hulu and More In September"
29,2016-09-01T17:57:05+0000,"Sergei Polunin, Ballet’s Bad Boy, Has a Change of Heart"
30,2016-09-01T04:00:00+0000,A Day at the Park With Fashion’s Favorite Girl Skateboarders
31,2016-09-01T04:00:00+0000,A Morning in Chelsea with the Skate Kitchen
32,2016-09-01T04:00:00+0000,Timeless Pieces for Your Home — With a Graphic Punch
33,2016-09-01T17:38:46+0000,EpiPen Price Rises Could Mean More Riches for Mylan Executives
34,2016-09-01T04:00:00+0000,Report on St. George's School With Exhibits
35,2016-09-01T04:00:00+0000,"Good, Bad and Mad: Andrew Rosenthal on the News"
36,2016-09-01T16:50:21+0000,Turkish Dam Project Threatens to Submerge Thousands of Years of History
37,2016-09-01T16:44:03+0000,Passionate Reactions to Impeachment
38,2016-09-01T16:34:16+0000,"As Donald Trump Calls for Wall on Mexican Border, Smugglers Dig Tunnels"
