,pub_date,headline
0,2018-02-02T18:19:11+0000,The Nunes Memo vs. the Schiff Memo
1,2018-02-01T18:10:38+0000,"Variation 27, Take 2"
2,2018-02-01T20:09:19+0000,"Trump Tax Cuts and the Economy: Time Will Tell, Maybe"
3,2018-02-01T22:12:58+0000,The Best Movies and TV Shows New to Netflix Canada in February
4,2018-02-03T13:42:02+0000,Lasers Reveal a Maya Civilization So Dense It Blew Experts’ Minds
5,2018-02-03T10:00:24+0000,How a Crowdsourced List Set Off Months of #MeToo Debate
6,2018-02-03T10:05:14+0000,Pyeongchang’s Winding Path From Obscurity to Olympics Fame
7,2018-02-03T11:00:31+0000,‘This Work Helps the Living’
8,2018-02-03T11:00:31+0000,"‘Hollywood Is Changing,’ Says Its Veteran Activist, Tim Robbins"
9,2018-02-03T00:53:15+0000,Trump’s Vision for Vocational Education Gets a Tepid Reception
10,2018-02-01T16:32:47+0000,Your Next Lesson: Value Bordeaux
11,2018-02-01T16:37:44+0000,A Troubled Dad Takes His Family Into the Wild
12,2018-02-01T00:28:46+0000,What’s the Craziest Thing You’ve Ever Found in a Xerox Machine?
13,2018-02-01T00:35:07+0000,"6,900 Syrians Win Permission to Stay in the U.S., for Now"
14,2018-02-01T01:02:59+0000,Aides to Russian Opposition Leader Sentenced to Jail
15,2018-02-02T01:37:00+0000,"With Memo, Devin Nunes, Once a Scourge of the Hard Right, Becomes Its Hero"
16,2018-02-02T22:48:32+0000,Leading Private Equity Firm Accused of Misusing Funds
17,2018-02-03T03:00:01+0000,Vitamin Rich
18,2018-02-03T00:53:15+0000,Trump’s Vision for Vocational Education Gets a Tepid Reception
19,2018-02-03T01:22:44+0000,Is Dell’s Debt Load Pushing It Into a Deal?
20,2018-02-02T15:55:23+0000,"If Immigrants Are Pushed Out, Who Will Care for the Elderly?"
21,2018-02-02T15:58:41+0000,The 1.21.18 Issue
22,2018-02-02T15:59:14+0000,Behind the Cover: 2.4.18
23,2018-02-02T17:40:52+0000,"Auction Houses Thrived in 2017, in an 18th-Century Way"
24,2018-02-02T16:14:46+0000,The Women Behind White Power
25,2018-02-02T19:34:11+0000,Donor Names on a Border Wall
26,2018-02-02T19:50:17+0000,"Stocks Fall to End a Bad Week, and a Boom Begins to Look Shaky"
27,2018-02-02T10:00:31+0000,A Revolving Review of ‘Alice’s Adventures in Wonderland’
28,2018-02-02T10:15:01+0000,Teenagers in The Times: January 2018
29,2018-02-02T10:00:27+0000,France’s Love Affair With Food
