,pub_date,headline
0,2018-10-01T16:42:56+0000,She’s Suffering from Life-Threatening Anemia. Can You Help?
1,2018-10-01T17:12:16+0000,Indonesia Earthquake and Tsunami: Before-and-After Photos of the Destruction
2,2018-10-03T22:17:08+0000,Sanders Dismisses The Times’s Trump-Tax Story as ‘Very Boring’
3,2018-10-03T05:22:05+0000,Lady Gaga Isn’t Done Shape-Shifting Yet
4,2018-10-03T16:57:48+0000,"Midterm Election Poll: Illinois’s 14th District, Hultgren vs. Underwood"
5,2018-10-01T10:00:05+0000,I Was Part of the Student Movement of ’68. We Paid for Freedom with Our Lives.
6,2018-10-01T11:56:34+0000,G.E. Ousts Chief Just Over a Year After Picking Him to Lead a Turnaround
7,2018-10-01T12:20:53+0000,Las noticias del día
8,2018-10-01T13:41:28+0000,"Charles Aznavour, 94, Enduring French Singer of Global Fame, Dies"
9,2018-10-01T06:59:04+0000,"From Orwell to ‘Little Mermaid,’ Kuwait Steps Up Book Banning"
10,2018-10-02T17:05:03+0000,Fed’s Powell Says Strong Economic Path ‘Not Too Good to Be True’
11,2018-10-01T22:51:30+0000,The Angry White Male Caucus
12,2018-10-01T23:30:03+0000,Cancer Center’s Board Chairman Faults Top Doctor Over ‘Crossed Lines’
13,2018-10-01T17:03:49+0000,Trump Just Ripped Up Nafta. Here’s What’s in the New Deal.
14,2018-10-01T17:10:33+0000,Review: She’s Still Debating ‘What the Constitution Means to Me’
15,2018-10-01T17:33:52+0000,Three Things to Watch This Week
16,2018-10-01T20:57:04+0000,"Melania Trump Visiting Africa, a Continent Freighted With History for Her Husband"
17,2018-10-01T20:28:32+0000,Awaiting the Outcome of the Kavanaugh Fight
18,2018-10-01T19:23:55+0000,"Defacing ‘Art’: After 20 Years, the Hit Play Gets a Brash Coat of Paint"
19,2018-10-02T09:00:07+0000,"Should You Tip Your Uber Driver? If So, How Much?"
20,2018-10-02T09:00:11+0000,Creating a Standout Vacation Rental 
21,2018-10-02T06:30:05+0000,These Cholesterol-Reducers May Save Lives. So Why Aren’t Heart Patients Getting Them? 
22,2018-10-02T10:07:14+0000,"Brett Kavanaugh, Indonesia, M.L.B. Playoffs: Your Tuesday Briefing"
23,2018-10-02T12:56:02+0000,California Today: An Additional Fund for Solar Power
24,2018-10-01T04:24:37+0000,"Indonesia, Brett Kavanaugh, Nafta: Your Monday Briefing"
25,2018-10-01T00:44:58+0000,5 Cheap(ish) Things to Help You Start Packing Your Lunch
26,2018-10-01T06:59:04+0000,"From Orwell to ‘Little Mermaid,’ Kuwait Steps Up Book Banning"
27,2018-10-01T11:56:34+0000,G.E. Ousts Chief Just Over a Year After Picking Him to Lead a Turnaround
28,2018-10-01T12:20:53+0000,Las noticias del día
29,2018-10-01T10:00:05+0000,I Was Part of the Student Movement of ’68. We Paid for Freedom with Our Lives.
30,2018-10-01T13:41:28+0000,"Charles Aznavour, 94, Enduring French Singer of Global Fame, Dies"
31,2018-10-03T09:00:06+0000,"In Omaha, a Progressive Approach to Free Time"
