,pub_date,headline
0,2017-09-01T15:27:25+0000,"The Best TV Shows and Movies New to Netflix, Amazon and More in December"
1,2017-09-03T23:04:18+0000,A Houston Neighborhood Under Water
2,2017-09-01T00:07:08+0000,"In Brooklyn, Challenging the Party Establishment"
3,2017-09-01T02:00:01+0000,Without Wasting a Word
4,2017-09-01T02:23:30+0000,7 Movies to Watch This Labor Day Weekend
5,2017-09-01T04:00:16+0000,Who’s Allowed to Hold Hands?
6,2017-09-01T07:21:13+0000,Make Pot Legal for Veterans With Traumatic Brain Injury
7,2017-09-01T09:00:15+0000,On the Road: Two Children Brave the Irish Famine
8,2017-09-01T09:00:19+0000,Suspense Fiction That Mines the Terrain of Female Guilt
9,2017-09-01T09:00:25+0000,Looking for a London Vacation Rental? We Tried the Plum Guide
10,2017-09-01T09:00:26+0000,Floodwaters Inundate Beaumont as Houston Assesses Damage
11,2017-09-02T11:00:26+0000,Get Ready for Technological Upheaval by Expecting the Unimagined
12,2017-09-02T09:00:26+0000,"In Venezuela, Cooking With Firewood as Currency Collapses"
13,2017-09-03T19:31:40+0000,"Shaken by Harvey, Congress May Try Something New: Bipartisanship"
14,2017-09-03T17:27:44+0000,"As a Weary Texas Seeks Solace, Governor Says Property Damage May Exceed Katrina"
15,2017-09-03T14:32:29+0000,"Why Trump, After North Korea’s Test, Aimed His Sharpest Fire at the South"
16,2017-09-01T16:11:59+0000,A Life’s Many Acts Culminate in the Kitchen at NA/NA in Paris
17,2017-09-01T16:19:57+0000,The Best Movies and TV Shows New on Netflix Canada in September
18,2017-09-01T15:01:03+0000,Library Cards Unlock Film Vaults
19,2017-09-01T18:24:36+0000,Vanguard Speaks Softly but Carries a Big Stick
20,2017-09-03T05:00:14+0000,What’s on TV Sunday: Season Finales of ‘Power’ and ‘Twin Peaks’
21,2017-09-01T20:39:06+0000,What 8 Art Fans Wore to a Hamptons Opening 
22,2017-09-01T20:49:25+0000,The Playlist: U2 Dances Into Darkness and 11 More New Songs
23,2017-09-01T21:09:29+0000,What We’re Reading
24,2017-09-01T21:30:35+0000,"Alexandr Dolgopolov Wins, but Is Grilled About a Suspicious Loss"
25,2017-09-02T00:11:32+0000,Tal Afar After Liberation From ISIS: Battered but Still Standing
26,2017-09-02T18:00:52+0000,"Ivan Lendl, Open Champion, Pushes the Benefits of Group Training"
