,pub_date,headline
0,2018-05-02T09:55:40+0000,Listen to ‘The Daily’: The Taxi Driver’s Plight
1,2018-05-01T12:20:53+0000,"Weekly News Quiz for Students: Historic Summit, Guilty Verdict, New Memorial"
2,2018-05-01T21:59:49+0000,For Our Subscribers: Take the Tidy Home Challenge
3,2018-05-02T04:20:20+0000,The Opioid that Made a Fortune for Its Maker — and for Its Prescribers
4,2018-05-03T21:00:11+0000,De Blasio Moves to Bring Safe Injection Sites to New York City
5,2018-05-03T21:04:52+0000,"Does Giuliani Have a Plan, or Is This Just a Freakout?"
6,2018-05-03T20:00:00+0000,Eating Fish and Legumes Tied to a Later Menopause
7,2018-05-03T20:02:45+0000,"Alice Provensen, a Star in the Children’s-Book World, Dies at 99"
8,2018-05-03T20:41:08+0000,"Giuliani Contradicts Trump on Comey Firing, Saying Russia Inquiry Was a Factor"
9,2018-05-03T16:36:32+0000,Calling Teenage Illustrators: An Opportunity to See Your Work in Print in The New York Times
10,2018-05-03T16:53:33+0000,"At the Duplex, Nightlife Is a Cabaret"
11,2018-05-03T22:43:50+0000,Yale Holds Hearings in Case of Student Cleared of Rape
12,2018-05-03T22:59:13+0000,"A Birthday for Us, and Cakes From You"
13,2018-05-03T23:10:44+0000,Lebanese Voters Want Change. Few Expect It.
14,2018-05-03T23:15:06+0000,"Review: Marin Ireland, on Fire in ‘Summer and Smoke’"
15,2018-05-03T18:30:04+0000,Have Special Elections Warped Our Sense of the Midterms?
16,2018-05-03T17:39:43+0000,"Review: Kyle Abraham, Walking on Air"
17,2018-05-03T16:00:00+0000,Teaching With: ‘Polar Bears of Hudson Bay’
18,2018-05-01T23:31:12+0000,"Amazon, Not Waiting for HQ2, Announces Projects in Boston and Vancouver"
19,2018-05-01T23:42:18+0000,De Blasio’s Pitch for Progressivism Finds an Ally Across the River
20,2018-05-02T21:07:22+0000,Goldman Sachs to Open a Bitcoin Trading Operation
21,2018-05-02T21:01:00+0000,"‘The Handmaid’s Tale’ Season 2, Episode 3 Recap: The Dress and the Wings"
22,2018-05-03T05:00:06+0000,What’s on TV Thursday: ‘The Big Bang Theory’ and ‘Salome’
23,2018-05-03T00:26:24+0000,Yankees’ Jordan Montgomery Is Out Six to Eight Weeks
24,2018-05-02T16:04:37+0000,Suicide Attack Targets Electoral Commission in Libya
25,2018-05-02T13:50:56+0000,Cavaliers and Warriors Take Big Steps to Another Rematch
26,2018-05-02T16:47:23+0000,"Review: In ‘Assembled Identity,’ They Laugh Alike, They Walk Alike, but They’re Not Twins"
27,2018-05-02T16:58:23+0000,Swedish Meatballs Are Turkish? ‘My Whole Life Has Been a Lie’
28,2018-05-02T17:03:10+0000,Jerome Robbins in 124 Costumes and 30 Minutes
29,2018-05-03T21:00:11+0000,De Blasio Moves to Bring Safe Injection Sites to New York City
30,2018-05-03T21:04:52+0000,"Does Giuliani Have a Plan, or Is This Just a Freakout?"
31,2018-05-03T22:43:50+0000,Yale Holds Hearings in Case of Student Cleared of Rape
32,2018-05-03T22:59:13+0000,"A Birthday for Us, and Cakes From You"
33,2018-05-03T23:10:44+0000,Lebanese Voters Want Change. Few Expect It.
34,2018-05-03T23:15:06+0000,"Review: Marin Ireland, on Fire in ‘Summer and Smoke’"
35,2018-05-03T03:24:55+0000,Explosion During Police Standoff in Connecticut Injures Several Officers
36,2018-05-03T03:28:40+0000,"Spain, Netanyahu, Meatballs: Your Thursday Briefing"
37,2018-05-03T13:00:05+0000,Overcome With Emoji 
38,2018-05-03T13:49:31+0000,"Seeking a Smoother Ride, Whether You Drive or Your Autonomous Car Does"
39,2018-05-03T14:00:05+0000,2 Tony Winners Try to Upend Rodgers and Hammerstein
40,2018-05-03T14:30:04+0000,"As Ridership Surges, Ferries to Get $300 Million to Expand Service"
41,2018-05-03T11:00:03+0000,"Review: To Catch a Thief, Drive a Fast Car in ‘Racer and the Jailbird’"
42,2018-05-02T16:27:12+0000,"Trump Adds Clinton Impeachment Lawyer, Bracing for a Fight on Multiple Fronts"
43,2018-05-02T14:46:00+0000,"Mo Salah of Liverpool Breaks Down Cultural Barriers, One Goal at a Time"
44,2018-05-02T09:00:05+0000,Are You a Fortnite Addict?
45,2018-05-03T18:30:04+0000,Have Special Elections Warped Our Sense of the Midterms?
46,2018-05-03T20:00:00+0000,Eating Fish and Legumes Tied to a Later Menopause
