,pub_date,headline
0,2019-05-02T17:05:09+0000,‘Nobody Is Above the Law’: House Democrats Are Furious With Barr
1,2019-05-02T18:00:05+0000,
2,2019-05-02T17:47:44+0000,Watch ‘Boyz N the Hood’ Free at the Tribeca Film Festival
3,2019-05-01T18:10:17+0000,
4,2019-05-03T18:30:20+0000,Ryan Reynolds Keeps a Bare Closet
5,2019-05-03T11:37:14+0000,
6,2019-05-02T18:01:50+0000,How Will Satan & Adam Play in 2019?
7,2019-05-03T18:03:30+0000,Trump Says He Discussed the ‘Russian Hoax’ in a Phone Call With Putin
8,2019-05-03T17:30:17+0000,"Our Best Cinco de Mayo Recipes: Guacamole, Margaritas, Tacos and More"
9,2019-05-03T09:07:48+0000,King of Thailand to Be Formally Crowned in an Ornate Spectacle
10,2019-05-03T17:34:53+0000,A Mueller Investigator Moves On (but Stays Mum)
11,2019-05-02T21:54:50+0000,Marilyn Stasio Gets Cozy With Some Unlikely Heroines — and a Hit Man
12,2019-05-03T12:47:19+0000,"A Teacher Shared Her Salary, and a Stranger Started a School Supplies Wish List"
13,2019-05-03T02:00:01+0000,Opportunities to Watch the Big Game
14,2019-05-02T18:58:37+0000,Joe Biden and the Debate Over Apologies
15,2019-05-02T18:56:34+0000,Oil and U.S. Involvement in Venezuela
16,2019-05-03T02:04:26+0000,Las principales noticias del viernes
17,2019-05-02T22:38:56+0000,How Much Watching Time Do You Have This Weekend?
18,2019-05-02T21:02:13+0000,"12 Pop, Rock and Jazz Concerts to Check Out in N.Y.C. This Weekend"
19,2019-05-02T21:00:06+0000,5 Film Series to Catch in N.Y.C. This Weekend
20,2019-05-03T17:30:17+0000,"Our Best Cinco de Mayo Recipes: Guacamole, Margaritas, Tacos and More"
21,2019-05-02T21:41:03+0000,"William Barr, Facebook, Scrabble: Your Thursday Evening Briefing"
22,2019-05-02T22:19:09+0000,The Attorney General of the United States
23,2019-05-02T22:36:15+0000,A Treacherous Stalemate in Venezuela
24,2019-05-02T19:36:07+0000,Tefaf Brings Masterpieces (and Tulips) to the Armory
25,2019-05-03T13:18:22+0000,Scenes of Destruction as Cyclone Fani Hits India
26,2019-05-03T14:00:05+0000,"Dr. Ruth Says ‘Make Time’ for Sex. Millennials, She’s Looking at You."
27,2019-05-03T00:54:33+0000,A Tourist Wanted a Better Look at an Active Volcano. Then He Fell In.
28,2019-05-02T19:35:55+0000,"At Frieze New York, Islands of Daring"
29,2019-05-02T23:40:38+0000,Short Books for Kids That Make a Big Impact
30,2019-05-03T09:00:01+0000,Finding a Way Back to a Flawed and Dangerous Mother
31,2019-05-03T13:47:31+0000,"‘You Should Be in the Kitchen’: At Afghan Assembly, Women Are Told They Don’t Belong"
32,2019-05-03T13:45:42+0000,"The Anxiety of the $2,300-a-Night Hotel Room"
33,2019-05-02T18:00:10+0000,Why Is This Ostrich Wearing an Extra Set of Wings?
34,2019-05-03T00:12:24+0000,"U.N.C. Charlotte Shooting Suspect Was ‘Withdrawn,’ but Motive Is Still a Mystery"
35,2019-05-02T18:07:12+0000,Leana Wen of Planned Parenthood Wants to Tackle the ‘Fundamental Unfairness in Our System’
36,2019-05-03T23:55:32+0000,"With Miguel Andujar Returning, Yankees’ Injury Nightmare Starts to Fade"
37,2019-05-02T18:37:56+0000,F.D.A. Won’t Ban Sales of Textured Breast Implants Linked to Cancer
38,2019-05-02T18:42:33+0000,"To Combat Climate Change, Start From the Ground Up (With Dirt)"
39,2019-05-03T20:56:26+0000,"T Suggests: Cameos by Cindy Sherman, Warhol’s Portraits of Women and More"
40,2019-05-03T16:17:29+0000,"It’s Layaway, But for a Post-Recession Economy"
41,2019-05-03T13:42:44+0000,‘My Life is Connected to the Most Miserable Things That Can Happen to Others’
42,2019-05-03T13:30:04+0000,Turning a Condo Into an Experience
43,2019-05-03T15:12:35+0000,"How Alexandria Ocasio-Cortez’s Triumph, ‘Ugly Crying’ and All, Was Captured"
44,2019-05-03T11:37:17+0000,"Bullets, Tear Gas and Love: Romance Blooms in the Midst of Sudan Protests"
45,2019-05-02T19:00:01+0000,A Very Modern Waste of Tax Dollars
46,2019-05-03T00:54:33+0000,A Tourist Wanted a Better Look at an Active Volcano. Then He Fell In.
47,2019-05-02T19:35:55+0000,"At Frieze New York, Islands of Daring"
48,2019-05-02T23:40:38+0000,Short Books for Kids That Make a Big Impact
49,2019-05-03T10:04:39+0000,A Beer Run From N.Y.C. to Vietnam Ends Up in Hollywood
50,2019-05-01T22:31:45+0000,The Designer Reimagining Traditional West African Fabrics for a New Generation
51,2019-05-01T22:39:48+0000,How to Brighten Your Skin for Spring
52,2019-05-01T23:18:36+0000,Trump Administration Files Formal Request to Strike Down All of Obamacare
53,2019-05-01T23:23:22+0000,Reimagining America
54,2019-05-01T23:24:38+0000,"Harris, Booker and Klobuchar Try to Hone Their Brands in Barr Hearing"
55,2019-05-01T23:36:14+0000,Ex-C.I.A. Officer Pleads Guilty to Conspiring With China
56,2019-05-01T23:40:43+0000,Barr Defends Handling of Mueller Report Against Withering Rebukes
57,2019-05-02T01:58:30+0000,Facebook Set to Create Privacy Positions as Part of F.T.C. Settlement
58,2019-05-02T05:02:00+0000,Falling Bottles
59,2019-05-02T07:55:06+0000,The Broadway Musical Has a Man Problem
60,2019-05-01T09:24:26+0000,"Attorney General, Venezuela, U.N.C. Charlotte: Your Wednesday Briefing"
61,2019-05-01T09:36:23+0000,Will Trump Speak at the Statue of Liberty? N.Y. Waits and Debates
62,2019-05-01T10:00:07+0000,‘The Right Has a Greater Appreciation of Labor’s Role Than We Do’
63,2019-05-01T10:30:06+0000,Caster Semenya Loses Case to Compete as a Woman in All Races
64,2019-05-01T11:47:05+0000,Trump Lashes Out on Twitter Over Firefighters’ Support of Biden
65,2019-05-01T11:50:37+0000,"A Broken Skull, a Dubious Paper Trail: Australian Justice for One Aboriginal Man"
66,2019-05-01T11:54:09+0000,Turner Prize Shortlist Promotes Political Artists
67,2019-05-01T12:30:05+0000,William Barr Hearing: Highlights of His Testimony
68,2019-05-01T13:02:17+0000,"Violence Flares at May Day Rally in Paris, and Police Arrest About 200"
69,2019-05-01T13:12:03+0000,Rapper Wins Fans With a Snarling Critique of Brexit Britain
70,2019-05-02T11:00:04+0000,‘El Chicano’ Review: Freeing East Los Angeles With Bloodshed
71,2019-05-02T11:00:30+0000,Julian Assange Appears in Court for U.S. Extradition Hearing
72,2019-05-02T12:49:41+0000,A $37 Million Temporary Fix: U.S. Builds 2 New Migrant Detention Centers
73,2019-05-02T13:00:23+0000,On the Market in New York City
74,2019-05-02T13:00:23+0000,On the Market in the New York Region
75,2019-05-02T13:03:18+0000,How Can I Save My Workaholic Boyfriend From Himself?
76,2019-05-01T06:16:50+0000,On Politics: Mueller Objected to Barr’s Description of His Findings
77,2019-05-01T07:00:09+0000,Everyone’s Welcome at the Statue of Liberty. Except Tour Guides.
78,2019-05-01T07:35:53+0000,‘Avengers: Endgame’ Has Taken Over the World. Let’s Talk About Fan Service and Marvel’s Legacy
79,2019-05-01T08:00:01+0000,"Examining Identity, Race and Responsibility Among White South Africans"
80,2019-05-01T08:26:44+0000,Jimmy Kimmel Predicts Biden Won’t Sell Many ‘MAMA’ Hats
81,2019-05-01T09:00:01+0000,Deconstructing Australia’s Most Instagrammed Dessert
82,2019-05-01T09:00:02+0000,His Symptoms Pointed to M.S. Then He Had a Strange Personality Shift.
83,2019-05-01T09:00:06+0000,Her Father Was Executed for Murder. She Still Wants to Know if He Did It.
84,2019-05-01T09:00:10+0000,"Kamala Harris and Cory Booker, Courting Black Support, Pitch Differing Economic Plans"
85,2019-05-01T09:00:14+0000,"Once Idolized, Guru of Nxivm ‘Sex Cult’ to Stand Trial Alone"
86,2019-05-01T09:00:25+0000,"Living In ... Leonia, N.J."
87,2019-05-01T09:00:30+0000,Same Pictures. Same Places. 68 Years Apart.
88,2019-05-03T09:00:01+0000,Finding a Way Back to a Flawed and Dangerous Mother
89,2019-05-02T19:00:01+0000,A Very Modern Waste of Tax Dollars
90,2019-05-01T14:52:56+0000,What Do Europeans Really Want?
91,2019-05-01T15:11:20+0000,Your Gas Stove Is Bad for You and the Planet
92,2019-05-01T15:14:19+0000,Affordable Alternatives to Frieze New York and Tefaf
93,2019-05-01T15:28:19+0000,There Are New Options in Trans Underwear
94,2019-05-01T16:00:19+0000,"Patti Harrison Bucks Transgender Stereotypes, One Joke at a Time"
95,2019-05-01T16:00:21+0000,‘Step Up’ Is One of Pop Culture’s Most Enduring Franchises. How Did That Happen?
96,2019-05-01T16:05:34+0000,"Love, Sex and Robots Collide in a New Ian McEwan Novel"
97,2019-05-01T16:19:59+0000,‘Game of Thrones’: Carice van Houten on Melisandre’s Final Act
98,2019-05-01T16:24:15+0000,L.A.’s Elite on Edge as Prosecutors Pursue More Parents in Admissions Scandal
99,2019-05-01T17:14:49+0000,"Gavin Williamson, U.K. Defense Chief, Is Fired Over Huawei Leak"
100,2019-05-01T17:15:17+0000,"The Best Movies and TV Shows New to Netflix, Amazon and More in May"
101,2019-05-01T17:40:26+0000,"With Woodstock 50 in Peril, Michael Lang Is Defiant: ‘We’re Not Stopping Now’"
102,2019-05-01T17:54:27+0000,"50 Years On, the Art Ensemble of Chicago Is Still Transforming"
103,2019-05-01T18:05:17+0000,The Facts About Food and Climate Change
104,2019-05-01T13:31:23+0000,House Hunting in … France
105,2019-05-01T18:49:56+0000,"Quentin Fiore, Who Made the Medium His Message, Dies at 99"
106,2019-05-01T18:56:34+0000,On Your Right ...
107,2019-05-01T18:57:43+0000,"Chinatown Thunderstorm, 1970."
108,2019-05-01T19:13:04+0000,Robert De Niro Speaks (Barely). And Socialites Bail Out Venice.
109,2019-05-01T19:18:46+0000,"In ‘The Paris Diversion,’ a Spy Stumbles in a Belated Sequel"
110,2019-05-03T02:33:35+0000,"Corrections: May 3, 2019"
111,2019-05-02T18:45:01+0000,Military Judge in Trial of Sept. 11 Suspects Will Step Aside
112,2019-05-03T04:01:01+0000,On Politics: Pelosi Accuses Barr of Breaking the Law
113,2019-05-02T18:25:11+0000,Tiger Woods to Receive Presidential Medal of Freedom on Monday
114,2019-05-02T23:31:01+0000,U.S.-China Trade Deal Unlikely to Address Cybertheft or Subsidies
