,pub_date,headline
0,2017-03-01T23:39:00+0000,401 Prompts for Argumentative Writing
1,2017-03-01T23:27:01+0000,What Booming Markets Are Telling Us About the Global Economy
2,2017-03-01T23:01:48+0000,"Trump, Snapchat, Mosul: Your Wednesday Evening Briefing"
3,2017-03-01T23:00:48+0000,The Struggle and Payoff of Setting Up Shop in an Airport
4,2017-03-01T22:58:16+0000,A Night of Tornadoes: 3 Are Dead as Storms Sweep the Midwest
5,2017-03-01T22:56:02+0000,"More Than 80 Percent of Patient Groups Accept Drug Industry Funds, Study Shows"
6,2017-03-01T22:52:32+0000,Paris Fashion Week 2017: Rihanna at Dior and Wild Animals at Balmain
7,2017-03-01T22:46:48+0000,‘Wild Nights’ Offers a History of Sleep (and Sleeplessness)
8,2017-03-01T22:23:12+0000,Barcelona Coach Luis Enrique to Leave After Season
9,2017-03-01T21:57:55+0000,Spring’s New Look Is Top Heavy
10,2017-03-01T21:57:08+0000,"On Khalid’s ‘American Teen,’ Songs of Young Love and Technology"
11,2017-03-01T21:45:00+0000,Putin Casts Doubt on Storage of Doping Suspects’ Urine Samples
12,2017-03-01T21:43:38+0000,Prepping for Spring
13,2017-03-01T21:41:51+0000,Assessing Trump’s More Upbeat Speech
14,2017-03-01T21:40:13+0000,"2 PwC Accountants in Oscars Mix-Up Won’t Be Back, Academy Says"
15,2017-03-01T21:38:58+0000,48 Million Viewers Watched Trump’s Address to Congress
16,2017-03-01T21:38:49+0000,What You Should Watch Wednesday Night
17,2017-03-01T21:35:35+0000,"Darren Woods, Exxon’s New Chief, Begins to Make His Mark"
18,2017-03-01T21:35:17+0000,"The Modern Love Podcast: Live on Valentine’s Day, Part 2"
19,2017-03-01T21:31:15+0000,How to Fix the Met: Connect Art to Life
20,2017-03-01T21:23:07+0000,"PayPal Redirects Charitable Contributions Without Consent, Lawsuit Says"
21,2017-03-01T21:08:51+0000,"Backed by Law Enforcement, Undocumented Immigrant Gets Reprieve"
22,2017-03-01T21:07:24+0000,"Abuse Victim Quits Vatican Commission, Citing ‘Resistance’"
23,2017-03-01T20:51:28+0000,Georgia Couple Get Prison for Racial Threats at Black Child’s Party
24,2017-03-01T20:42:06+0000,A Surge in Hate: New Threats Against Jews
25,2017-03-01T20:38:30+0000,Immorality of Private Prisons
26,2017-03-01T20:37:13+0000,Make the Most of the British Museum
27,2017-03-01T20:32:21+0000,Cartier Courts Young Men With Luxe Watches
28,2017-03-01T20:28:13+0000,Former Port Authority Chairman Seeks to Avoid Prison in Bribery Case
29,2017-03-01T20:27:07+0000,"After Trump Win, Anti-Soros Forces Are Emboldened in Eastern Europe"
30,2017-03-01T20:25:33+0000,When Did ‘Ambition’ Become a Dirty Word?
31,2017-03-01T20:21:34+0000,Informed Patient? Don’t Bet On It
32,2017-03-01T20:16:33+0000,"For Ibibio Sound Machine, Every Song Tells a Story"
33,2017-03-01T20:10:17+0000,Melania Trump Wears Black to the President’s Speech (and Twitter Reacts)
34,2017-03-01T20:07:39+0000,A Birthplace for Novels and Essays
35,2017-03-01T20:03:55+0000,"The Best Movies and TV Shows New to Netflix, Hulu, Amazon and HBO in March"
36,2017-03-01T20:00:03+0000,The Institute of Contemporary Art Is Opening a Seasonal Space in Boston
37,2017-03-01T19:53:40+0000,Should You Move (Your Money) to Canada?
38,2017-03-01T19:49:24+0000,Snap I.P.O. Value Difficult to Pin Down
39,2017-03-01T19:48:58+0000,"Eyewitness to America’s Longest War, After Others Have Gone"
40,2017-03-01T19:45:38+0000,Fact Check: Trump and Military Spending
41,2017-03-01T19:33:55+0000,Women’s Fashion Shows: Saint Laurent and Jacquemus
42,2017-03-01T19:30:22+0000,"The Stone, an Influential Music Space, to Move to the New School"
43,2017-03-01T19:10:42+0000,"Donald Trump’s Speech, Mosul, Kim Jong-nam: Your Morning Briefing"
44,2017-03-01T19:10:16+0000,Trump Picks a Side: How Tax Credits Would Work in a G.O.P. Health Plan
45,2017-03-01T19:04:29+0000,"China’s Bird Flu Surge Is a Low Epidemic Threat, W.H.O. Says"
46,2017-03-01T18:56:15+0000,Thomas Vanek and Jarome Iginla Move at N.H.L.’s Trade Deadline
47,2017-03-01T18:45:34+0000,"Donald Trump, Master of Low Expectations"
