,pub_date,headline
0,2015-04-01T23:53:44+0000,Backlash Against Indiana Religious Exceptions
1,2015-04-01T23:19:58Z,Clip: ‘Felix & Meira’
2,2015-04-01T23:01:44Z,&#8216;Broadchurch&#8217; Season 2 Episode 5 Recap: The Center Collapses
3,2015-04-01T23:00:41Z,&#8216;The Americans&#8217; Recap: The Moment Finally Arrives
4,2015-04-01T22:32:15+0000,Denim Jackets That Are Far From Old-Fashioned and More
5,2015-04-01T22:04:26Z,What Is Morgellons? Singer Joni Mitchell&#8217;s Disputed Diagnosis
6,2015-04-01T22:00:25Z,Another Arrangement
7,2015-04-01T04:00:00Z,Love and Loss on the Road to Arkansas
8,2015-04-01T21:45:56Z,Jeb Bush Seems to Shift Tone in His Praise of Indiana Law
9,2015-04-01T21:35:49+0000,The Indictment of Senator Robert Menendez
10,2015-04-01T04:00:00Z,Pictures of the Day: Iraq and Elsewhere
11,2015-04-01T20:54:27+0000,Filing on HSBC Compliance
12,2015-04-01T20:00:41Z,"Verbatim: Menendez Repeats, &#8216;I&#8217;m Not Going Anywhere&#8217;"
13,2015-04-01T19:27:04Z,"Cruz, in Iowa, Commends Indiana for &#8216;Doing the Right Thing&#8217;"
14,2015-04-01T19:16:58+0000,"Review: In ‘Furious 7,’ a Franchise Continues to Roar"
15,2015-04-01T18:57:41Z,California Governor Imposes Water Order
16,2015-04-01T18:20:34Z,"In a Nod to Past and Future, Clinton Pushes Child Development in Brooklyn"
17,2015-04-01T18:12:47Z,"Liquidity Traps, Local and Global (Somewhat Wonkish)"
18,2015-04-01T18:04:48Z,Officials on Iran Nuclear Negotiations
19,2015-04-01T00:00:00Z,Your Evening Briefing
20,2015-04-01T18:00:49Z,"A Friendly Pillow Fight, Worldwide"
21,2015-04-01T17:53:52Z,&#8216;Scrapbooking&#8217; Our Children Into Facebook
22,2015-04-01T17:33:45Z,"A New Exhibition Celebrates Le Corbusier, Through the Eyes of Those He Influenced"
23,2015-04-01T17:26:12Z,Verbatim: Booker Stands With Menendez
24,2015-04-01T17:21:23Z,Trailer: ‘Gamera’
25,2015-04-01T17:20:48Z,"April 1, 2015 — Pictures of the Day"
26,2015-04-01T17:03:26Z,Spring Vegetables for Passover
27,2015-04-01T16:47:24Z,Menendez Said to Take Hiatus From Foreign Relations Committee
28,2015-04-01T16:46:32Z,New York Parking Alert: Alternate-Side Parking Rules Suspended on Thursday
29,2015-04-01T16:45:03Z,Tech Leaders Call for Anti-Discrimination Laws to Protect Gays in all 50 States
30,2015-04-01T16:36:56+0000,36 Hours in Lisbon
31,2015-04-01T16:30:30Z,Is Yemen America's Fight?
32,2015-04-01T16:23:03+0000,Dr. Rankin’s Notes
33,2015-04-01T16:21:48Z,"Recipes from Loosie Rouge, a New Brooklyn Bar With a New Orleans Accent"
34,2015-04-01T16:16:55+0000,Dr. Haller’s Notes
35,2015-04-01T16:14:12+0000,Notes from Initial Doctor Visits
36,2015-04-01T16:08:16Z,"California’s Extreme Drought, Explained"
37,2015-04-01T16:05:59+0000,Dr. Rankin’s Notes
38,2015-04-01T16:02:01+0000,Dr. Haller’s Notes
39,2015-04-01T00:00:00Z,Purvi Patel Could Be Just the Beginning
40,2015-04-01T15:59:43+0000,Patient’s First Visit
41,2015-04-01T15:58:32Z,13 Weeks at No. 1 for &#8216;Uptown Funk&#8217;
42,2015-04-01T15:52:39Z,A Haven Between the Hoops in Kurdistan
43,2015-04-01T15:41:00Z,"Common Will Not Give Commencement Speech, Kean University Says"
44,2015-04-01T15:27:21Z,Ideas for E.L.L.s | Teaching and Learning About Work and Careers
45,2015-04-01T15:18:14Z,Political Thunder Over the Iran Deal
46,2015-04-01T00:00:00Z,‘Furious 7’ (With Movie Trailer): James Wan Discusses Paul Walker and Narrates a Scene
47,2015-04-01T00:00:00Z,The Rise of the ‘Unicorns’
48,2015-04-01T14:54:20Z,"At the Jewish Museum of Vienna, Enduring Images of Europe"
49,2015-04-01T14:47:05Z,This Just In: Behind the News Alert
50,2015-04-01T14:45:48Z,John Giorno&#8217;s Half-Century on the Bowery
51,2015-04-01T14:37:42Z,Anatomy of a Scene | ‘Furious 7’
52,2015-04-01T13:59:55Z,&#8216;Ready for Hillary&#8217; Workers Are Ready to Join Campaign
53,2015-04-01T13:49:05Z,Mark Wahlberg to Help Produce Film on Boston Marathon Bombing
54,2015-04-01T13:45:24Z,Arkansas Governor on Religious Bill
55,2015-04-01T13:44:27Z,To Catch a Hacker
56,2015-04-01T13:42:22Z,Dutch Royal Family Acts Quickly After Looted Painting Is Found
57,2015-04-01T13:32:16Z,The Limits of Tylenol for Pain Relief
58,2015-04-01T00:00:00Z,Adam Crapser’s Bizarre Deportation Odyssey
59,2015-04-01T13:12:46Z,"If an Expert in Day Care Can&#8217;t Find a Good One, Can Anyone?"
60,2015-04-01T00:00:00Z,Finding Respite on Basketball Court
61,2015-04-01T12:56:18Z,Attack on GitHub Appears to Have Ended
62,2015-04-01T12:52:43Z,36 Hours in Lisbon
63,2015-04-01T12:30:49Z,Dolce &#038; Gabbana Earrings Fit for a Queen (Bee)
64,2015-04-01T12:09:43Z,Aftermath of Yemen Factory Explosion
65,2015-04-01T12:01:38Z,App Smart | Tech News That’s Easy to Use
66,2015-04-01T12:00:23Z,Hillary Clinton Urges Veto of Arkansas &#8216;Religious Freedom&#8217; Bill
67,2015-04-01T12:00:08+0000,Rabbits Redux
68,2015-04-01T11:44:18+0000,Lee Daniels’s List of Five
69,2015-04-01T11:29:51Z,No Comment Necessary: ‘The Homosexual Lobby’
70,2015-04-01T11:15:20Z,A Tree-Scented Trio of Fragrances
