,pub_date,headline
0,2016-03-01T00:00:00Z,Shopping Guide: Lounge Chairs
1,2016-03-01T00:00:00Z,How Guido Palau Does Milan Fashion Week
2,2016-03-01T00:00:00Z,"An Up-and-Coming Tokyo Designer, Italian Tennis Shoes and Ultralight Easy Blazers"
3,2016-03-01T00:00:00Z,"Young Africans, Wrapped in Tradition"
4,2016-03-01T00:00:00Z,Trump’s Amazing Fortune
5,2016-03-01T23:17:39Z,Super Tuesday Speeches From Candidates
6,2016-03-01T23:10:12Z,J.J. Abrams on Diversity in Hollywood
7,2016-03-01T00:00:00Z,‘The People v. O.J. Simpson’ Episode 5: The Race Strategy
8,2016-03-01T00:00:00Z,Turning Out on Super Tuesday
9,2016-03-01T22:00:34Z,Power to the Pasta
10,2016-03-01T00:00:00Z,Texas Exit Polls
11,2016-03-01T00:00:00Z,Texas Exit Polls
12,2016-03-01T00:00:00Z,Turning Out on Super Tuesday
13,2016-03-01T19:57:15Z,Sanders Speaks After Winning Vermont
14,2016-03-01T00:00:00Z,Virginia Exit Polls
15,2016-03-01T00:00:00Z,Virginia Exit Polls
16,2016-03-01T18:33:32Z,What We&#8217;re Reading
17,2016-03-01T00:00:00Z,Your Evening Briefing
18,2016-03-01T00:00:00Z,"Your Tuesday Evening Briefing: Donald Trump, iPhone, Scott Kelly"
19,2016-03-01T17:50:30Z,"Android, Kindle, and Start-Up Subcultures"
20,2016-03-01T17:42:37Z,How Xerox Is Building on Its Copier Legacy
21,2016-03-01T00:00:00Z,Bill Cosby’s Sexual Assault Case Is Halted Pending Appeals Court’s Review
22,2016-03-01T00:00:00Z,"At Vaccarello, Natural Looks — and a Devilish Edge"
23,2016-03-01T00:00:00Z,Bin Laden Asks Wife About Tracking Device in Tooth
24,2016-03-01T00:00:00Z,Osama Bin Laden's Will
25,2016-03-01T00:00:00Z,An Application and a Syllabus for Aspiring Jihadis
26,2016-03-01T16:57:39Z,"March 1, 2016 — Pictures of the Day"
27,2016-03-01T00:00:00Z,Pictures of the Day: The United States and Elsewhere
