,pub_date,headline
0,2018-08-01T13:04:45+0000,California Today: U.S.C. Professors Renew Call for President’s Departure
1,2018-08-01T14:00:10+0000,On This Land: Dance Presenters Honor Manhattan’s First Inhabitants
2,2018-08-01T14:03:25+0000,Fields Medals Awarded to 4 Mathematicians
3,2018-08-01T14:15:47+0000,Trump Tells Sessions to ‘Stop This Rigged Witch Hunt Right Now’
4,2018-08-01T14:30:00+0000,What to Cook Right Now
5,2018-08-01T15:47:42+0000,"Moving From Buyer to Seller, Major League Soccer Tests a New Revenue Stream"
6,2018-08-01T15:52:38+0000,Campaigns Enter Texting Era With a Plea: Will U Vote 4 Me?
7,2018-08-01T15:56:19+0000,"At Least the Mets Didn’t Lose, 30-3. The Orioles Once Did."
8,2018-08-01T16:03:50+0000,Alaska Airlines Apologizes to Gay Couple Asked to Move for Straight Couple
9,2018-08-01T17:12:16+0000,English Freemasons Open the Door to Transgender Members
10,2018-08-03T09:00:01+0000,My Father Staged His Suicide to Look Like a Murder
11,2018-08-03T09:00:05+0000,Workers Hardest Hit by Recession Are Joining in Recovery
12,2018-08-03T09:00:07+0000,"How Alex Branson, Entrepreneur, Spends Her Sundays"
13,2018-08-03T09:00:09+0000,‘Beowulf’ Gets a 21st-Century Update
14,2018-08-03T09:00:11+0000,Diana Taurasi and Brittney Griner Are the W.N.B.A.’s Iconic Duo. Don’t Wait.
15,2018-08-03T09:00:09+0000,When a House Is So Much More
16,2018-08-03T09:00:12+0000,The Podcast Bros Want to Optimize Your Life
17,2018-08-03T15:58:58+0000,The Literati: Henry James’s Final Curtain Call
18,2018-08-03T16:54:49+0000," The New Season Ticket, Seat Optional"
19,2018-08-03T09:59:17+0000,How Paul Manafort’s Plans Backfired
20,2018-08-03T10:39:55+0000,DealBook Briefing: The Trouble With a $1 Trillion Apple
21,2018-08-03T13:08:16+0000,China Threatens New Tariffs on $60 Billion of U.S. Goods
22,2018-08-03T14:00:04+0000,"Two Netflix Original Dads, Incarnated by TV Favorites"
23,2018-08-03T14:23:23+0000,Brazil’s Supreme Court Considers Decriminalizing Abortion
24,2018-08-03T14:30:01+0000,Five Weeknight Dishes
25,2018-08-03T14:30:52+0000,"Ebola Poses High Risk in Congo, W.H.O. Says"
26,2018-08-03T14:43:05+0000,Olympian Erin Hamlin Marries a Childhood Playmate
