,pub_date,headline
0,2019-06-03T11:42:03+0000,He Stayed at Tiananmen to the End. Now He Wonders What It Meant.
1,2019-06-03T23:45:01+0000,Hollywood Producer Seeks to Raise Funds to Battle Anti-Abortion Laws
2,2019-06-03T09:00:02+0000,Stephen Colbert on the Political Targets of Satire
3,2019-06-01T09:00:12+0000,"After SpaceX Starlink Launch, a Fear of Satellites That Outnumber All Visible Stars"
4,2019-06-03T22:57:23+0000,"Lawrence Leathers, Jazz Drummer on Grammy-Winning Albums, Found Dead After Assault"
5,2019-06-03T21:05:49+0000,Wall Street Pins Its Hopes on Fed Rate Cuts
6,2019-06-03T11:45:26+0000,The Golden State Warriors Are … Alive!
7,2019-06-01T15:00:04+0000,The Scripps Spelling Bee Is Broken. Please Don’t Fix It.
8,2019-06-02T04:00:00+0000,"Corinne Lewis, Megan Myers"
9,2019-06-02T04:00:00+0000,"Bianca Livi, Danny Avizov"
10,2019-06-02T04:00:01+0000,"Messalina Morley, James Alton"
11,2019-06-02T04:00:01+0000,"Catherine Braun, David Stern"
12,2019-06-01T09:00:05+0000,Fact-Checking Elizabeth Warren on the Campaign Trail
13,2019-06-01T10:12:07+0000,Is This the End for Netanyahu?
14,2019-06-01T09:00:07+0000,Champions League Final Preview: Liverpool or Tottenham?
15,2019-06-01T00:03:16+0000,North Carolina to Investigate After Concerns Raised at Children’s Hospital
16,2019-06-01T15:11:31+0000,Breakthroughs Are Not Just for the Young at the French Open
17,2019-06-01T16:33:39+0000,An AIDS Symphony: The Week in Classical Music
18,2019-06-02T16:20:01+0000,"Plenty of Fantasy in HBO’s ‘Chernobyl,’ but the Truth Is Real"
19,2019-06-03T02:43:25+0000,"Corrections: June 3, 2019"
20,2019-06-03T06:51:05+0000,On Politics: California Is Now an Early Primary State
21,2019-06-02T23:30:05+0000,The Anniversary China Avoids
22,2019-06-02T18:36:03+0000,"‘Godzilla’ Sequel Disappoints, but Leaves a Bigger Footprint Overseas"
23,2019-06-03T00:00:22+0000,Trump Administration Considered Tariffs on Australia
24,2019-06-02T12:24:14+0000,Acting Defense Chief Sees No Need to Restart Big Military Exercises With South Korea
25,2019-06-03T00:25:53+0000,Las principales noticias del lunes
26,2019-06-02T10:04:03+0000,Quotation of the Day: The Most Powerful Prince in Washington
27,2019-06-03T10:34:05+0000,DealBook Briefing: Big Tech’s Antitrust Reckoning Is Coming
28,2019-06-02T18:03:42+0000,"Review: ‘Luther,’ Back From the Dead"
29,2019-06-02T17:57:48+0000,Review: ‘The Haunting’ Has a Big Problem With ‘Hamilton’
30,2019-06-03T16:22:19+0000,Come for the Cardamom Bun
31,2019-06-03T09:00:03+0000,Biggest Offender in Outsize Debt: Graduate Schools
32,2019-06-03T19:00:05+0000,Trump’s War on Worker Rights
33,2019-06-02T23:00:06+0000,Bernie Sanders: I Know Where I Came From. Does President Trump?
34,2019-06-01T14:20:23+0000,A Gun Killed My Son. So Why Do I Want to Own One?
35,2019-06-01T20:20:28+0000,The Terror of Getting Lettuce Wrong
36,2019-06-01T18:54:46+0000,The Economics of Rihanna’s Superstardom
37,2019-06-01T01:07:23+0000,"Trump to Give Arthur Laffer, Tax-Cut Champion, the Presidential Medal of Freedom"
38,2019-06-01T01:40:01+0000,Takes Heat From
39,2019-06-02T07:00:09+0000,Warriors Alumni Hold Tight to Their Place in a Dynasty
40,2019-06-02T14:53:31+0000,California Is Now an ‘Early Primary State.’ Democrats Are Grappling With How to Compete.
41,2019-06-03T07:00:06+0000,"Lawyers by Day, Uber Drivers and Bartenders by Night"
42,2019-06-03T09:00:03+0000,Does Your Education Level Affect Your Health?
43,2019-06-03T19:05:38+0000,Fiat and Renault Try to Reassure French Officials and Nissan
44,2019-06-03T23:02:25+0000,French ISIS Supporters on Death Row in Iraq Ask for Mercy
